medication_name,disease_or_context,role,status,phase,notes,source_reference,review_status
Fluvoxamina,Transtorno bipolar - antidepressivo isolado,nao_usar_automaticamente_isolado,bloquear_sem_avaliacao_de_risco,,Nao aparecer como antidepressivo bipolar isolado automatico; avaliar risco de mania/ciclagem.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Paroxetina,Transtorno bipolar - antidepressivo isolado,nao_usar_automaticamente_isolado,bloquear_sem_avaliacao_de_risco,,Nao aparecer como antidepressivo bipolar isolado automatico; avaliar risco de mania/ciclagem.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Sertralina,Transtorno bipolar - antidepressivo isolado,nao_usar_automaticamente_isolado,bloquear_sem_avaliacao_de_risco,,Nao aparecer como antidepressivo bipolar isolado automatico; avaliar risco de mania/ciclagem.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Venlafaxina XR,Transtorno bipolar - antidepressivo isolado,nao_usar_automaticamente_isolado,bloquear_sem_avaliacao_de_risco,,Nao aparecer como antidepressivo bipolar isolado automatico; avaliar risco de mania/ciclagem.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Desvenlafaxina,Transtorno bipolar - antidepressivo isolado,nao_usar_automaticamente_isolado,bloquear_sem_avaliacao_de_risco,,Nao aparecer como antidepressivo bipolar isolado automatico; avaliar risco de mania/ciclagem.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Duloxetina,Transtorno bipolar - antidepressivo isolado,nao_usar_automaticamente_isolado,bloquear_sem_avaliacao_de_risco,,Nao aparecer como antidepressivo bipolar isolado automatico; avaliar risco de mania/ciclagem.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Vortioxetina,Transtorno bipolar - antidepressivo isolado,nao_usar_automaticamente_isolado,bloquear_sem_avaliacao_de_risco,,Nao aparecer como antidepressivo bipolar isolado automatico; avaliar risco de mania/ciclagem.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Vilazodona,Transtorno bipolar - antidepressivo isolado,nao_usar_automaticamente_isolado,bloquear_sem_avaliacao_de_risco,,Nao aparecer como antidepressivo bipolar isolado automatico; avaliar risco de mania/ciclagem.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Litio,Transtorno bipolar - mania/hipomania,tratamento_mania_hipomania,principal_ou_conforme_diretriz,mania_aguda,,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Valproato,Transtorno bipolar - mania/hipomania,tratamento_mania_hipomania,principal_ou_conforme_diretriz,mania_aguda,,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Divalproato,Transtorno bipolar - mania/hipomania,tratamento_mania_hipomania,principal_ou_conforme_diretriz,mania_aguda,,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Carbamazepina,Transtorno bipolar - mania/hipomania,tratamento_mania_hipomania,principal_ou_conforme_diretriz,mania_aguda,,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Aripiprazol,Transtorno bipolar - mania/hipomania,tratamento_mania_hipomania,principal_ou_conforme_diretriz,mania_aguda,,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Olanzapina,Transtorno bipolar - mania/hipomania,tratamento_mania_hipomania,principal_ou_conforme_diretriz,mania_aguda,,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Quetiapina,Transtorno bipolar - mania/hipomania,tratamento_mania_hipomania,principal_ou_conforme_diretriz,mania_aguda,,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Risperidona,Transtorno bipolar - mania/hipomania,tratamento_mania_hipomania,principal_ou_conforme_diretriz,mania_aguda,,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Haloperidol,Transtorno bipolar - mania/hipomania,tratamento_mania_hipomania,principal_ou_conforme_diretriz,mania_aguda,,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Clorpromazina,Transtorno bipolar - mania/hipomania,tratamento_mania_hipomania,principal_ou_conforme_diretriz,mania_aguda,,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Lurasidona,Transtorno bipolar - mania/hipomania,nao_central_para_mania_aguda,nao_recomendado_como_central,mania_aguda,Lurasidona nao e escolha central para mania; lamotrigina nao trata mania aguda.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Lamotrigina,Transtorno bipolar - mania/hipomania,nao_central_para_mania_aguda,nao_recomendado_como_central,mania_aguda,Lurasidona nao e escolha central para mania; lamotrigina nao trata mania aguda.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Litio,Transtorno bipolar - manutencao,manutencao_bipolar,principal_ou_conforme_diretriz,manutencao,"Diferenciar prevencao de mania, depressao ou ambos os polos.",Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Lamotrigina,Transtorno bipolar - manutencao,manutencao_bipolar,principal_ou_conforme_diretriz,manutencao,"Diferenciar prevencao de mania, depressao ou ambos os polos.",Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Quetiapina,Transtorno bipolar - manutencao,manutencao_bipolar,principal_ou_conforme_diretriz,manutencao,"Diferenciar prevencao de mania, depressao ou ambos os polos.",Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Valproato,Transtorno bipolar - manutencao,manutencao_bipolar,principal_ou_conforme_diretriz,manutencao,"Diferenciar prevencao de mania, depressao ou ambos os polos.",Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Divalproato,Transtorno bipolar - manutencao,manutencao_bipolar,principal_ou_conforme_diretriz,manutencao,"Diferenciar prevencao de mania, depressao ou ambos os polos.",Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Carbamazepina,Transtorno bipolar - manutencao,manutencao_bipolar,principal_ou_conforme_diretriz,manutencao,"Diferenciar prevencao de mania, depressao ou ambos os polos.",Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Aripiprazol,Transtorno bipolar - manutencao,manutencao_bipolar,principal_ou_conforme_diretriz,manutencao,"Diferenciar prevencao de mania, depressao ou ambos os polos.",Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Olanzapina,Transtorno bipolar - manutencao,manutencao_bipolar,principal_ou_conforme_diretriz,manutencao,"Diferenciar prevencao de mania, depressao ou ambos os polos.",Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Aripiprazol,Esquizofrenia e transtornos psicoticos,tratamento_antipsicotico,principal_ou_conforme_diretriz,aguda/manutencao,"Considerar EPS, prolactina, metabolismo, sedacao, QT, anticolinergismo e adesao.",NICE CG178; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Clorpromazina,Esquizofrenia e transtornos psicoticos,tratamento_antipsicotico,principal_ou_conforme_diretriz,aguda/manutencao,"Considerar EPS, prolactina, metabolismo, sedacao, QT, anticolinergismo e adesao.",NICE CG178; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Clozapina,Esquizofrenia e transtornos psicoticos,tratamento_antipsicotico,principal_ou_conforme_diretriz,aguda/manutencao,"Considerar EPS, prolactina, metabolismo, sedacao, QT, anticolinergismo e adesao.",NICE CG178; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Haloperidol,Esquizofrenia e transtornos psicoticos,tratamento_antipsicotico,principal_ou_conforme_diretriz,aguda/manutencao,"Considerar EPS, prolactina, metabolismo, sedacao, QT, anticolinergismo e adesao.",NICE CG178; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Levomepromazina,Esquizofrenia e transtornos psicoticos,tratamento_antipsicotico,principal_ou_conforme_diretriz,aguda/manutencao,"Considerar EPS, prolactina, metabolismo, sedacao, QT, anticolinergismo e adesao.",NICE CG178; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Lurasidona,Esquizofrenia e transtornos psicoticos,tratamento_antipsicotico,principal_ou_conforme_diretriz,aguda/manutencao,"Considerar EPS, prolactina, metabolismo, sedacao, QT, anticolinergismo e adesao.",NICE CG178; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Olanzapina,Esquizofrenia e transtornos psicoticos,tratamento_antipsicotico,principal_ou_conforme_diretriz,aguda/manutencao,"Considerar EPS, prolactina, metabolismo, sedacao, QT, anticolinergismo e adesao.",NICE CG178; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Quetiapina,Esquizofrenia e transtornos psicoticos,tratamento_antipsicotico,principal_ou_conforme_diretriz,aguda/manutencao,"Considerar EPS, prolactina, metabolismo, sedacao, QT, anticolinergismo e adesao.",NICE CG178; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Risperidona,Esquizofrenia e transtornos psicoticos,tratamento_antipsicotico,principal_ou_conforme_diretriz,aguda/manutencao,"Considerar EPS, prolactina, metabolismo, sedacao, QT, anticolinergismo e adesao.",NICE CG178; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Tioridazina,Esquizofrenia e transtornos psicoticos,tratamento_antipsicotico,principal_ou_conforme_diretriz,aguda/manutencao,"Considerar EPS, prolactina, metabolismo, sedacao, QT, anticolinergismo e adesao.",NICE CG178; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Clozapina,Esquizofrenia resistente,tratamento_esquizofrenia_resistente,restrito_com_monitorizacao_obrigatoria,resistente,Pre-requisito: falha de tratamentos antipsicoticos adequados; monitorizacao hematologica e clinica obrigatoria.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Haloperidol,Agitacao ou psicose aguda,manejo_agitacao_psicose_aguda,contextual,aguda,"Nao sao intercambiaveis; avaliar delirium, intoxicacao/abstinencia, mania, demencia, QT, hipotensao e depressao respiratoria.",Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Olanzapina,Agitacao ou psicose aguda,manejo_agitacao_psicose_aguda,contextual,aguda,"Nao sao intercambiaveis; avaliar delirium, intoxicacao/abstinencia, mania, demencia, QT, hipotensao e depressao respiratoria.",Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Risperidona,Agitacao ou psicose aguda,manejo_agitacao_psicose_aguda,contextual,aguda,"Nao sao intercambiaveis; avaliar delirium, intoxicacao/abstinencia, mania, demencia, QT, hipotensao e depressao respiratoria.",Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Quetiapina,Agitacao ou psicose aguda,manejo_agitacao_psicose_aguda,contextual,aguda,"Nao sao intercambiaveis; avaliar delirium, intoxicacao/abstinencia, mania, demencia, QT, hipotensao e depressao respiratoria.",Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Aripiprazol,Agitacao ou psicose aguda,manejo_agitacao_psicose_aguda,contextual,aguda,"Nao sao intercambiaveis; avaliar delirium, intoxicacao/abstinencia, mania, demencia, QT, hipotensao e depressao respiratoria.",Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Clorpromazina,Agitacao ou psicose aguda,manejo_agitacao_psicose_aguda,contextual,aguda,"Nao sao intercambiaveis; avaliar delirium, intoxicacao/abstinencia, mania, demencia, QT, hipotensao e depressao respiratoria.",Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Levomepromazina,Agitacao ou psicose aguda,manejo_agitacao_psicose_aguda,contextual,aguda,"Nao sao intercambiaveis; avaliar delirium, intoxicacao/abstinencia, mania, demencia, QT, hipotensao e depressao respiratoria.",Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Doxepina,Insonia,uso_por_efeito_sedativo,off_label_ou_contextual,,Impedir que efeito adverso sedativo vire automaticamente indicacao formal para insonia; quetiapina isolada para insonia nao rotineira.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Trazodona,Insonia,uso_por_efeito_sedativo,off_label_ou_contextual,,Impedir que efeito adverso sedativo vire automaticamente indicacao formal para insonia; quetiapina isolada para insonia nao rotineira.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Mirtazapina,Insonia,uso_por_efeito_sedativo,off_label_ou_contextual,,Impedir que efeito adverso sedativo vire automaticamente indicacao formal para insonia; quetiapina isolada para insonia nao rotineira.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Amitriptilina,Insonia,uso_por_efeito_sedativo,off_label_ou_contextual,,Impedir que efeito adverso sedativo vire automaticamente indicacao formal para insonia; quetiapina isolada para insonia nao rotineira.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Quetiapina,Insonia,uso_por_efeito_sedativo,off_label_ou_contextual,,Impedir que efeito adverso sedativo vire automaticamente indicacao formal para insonia; quetiapina isolada para insonia nao rotineira.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Mianserina,Insonia,uso_por_efeito_sedativo,off_label_ou_contextual,,Impedir que efeito adverso sedativo vire automaticamente indicacao formal para insonia; quetiapina isolada para insonia nao rotineira.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Amitriptilina,Dor neuropatica ou sindromes dolorosas,tratamento_dor_ou_neuropatia,principal_ou_contextual,,,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Nortriptilina,Dor neuropatica ou sindromes dolorosas,tratamento_dor_ou_neuropatia,principal_ou_contextual,,,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Duloxetina,Dor neuropatica ou sindromes dolorosas,tratamento_dor_ou_neuropatia,principal_ou_contextual,,,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Venlafaxina,Dor neuropatica ou sindromes dolorosas,tratamento_dor_ou_neuropatia,principal_ou_contextual,,,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Doxepina,Dor neuropatica ou sindromes dolorosas,tratamento_dor_ou_neuropatia,principal_ou_contextual,,,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Carbamazepina,Dor neuropatica ou sindromes dolorosas,tratamento_dor_ou_neuropatia,principal_ou_contextual,,,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Oxcarbazepina,Dor neuropatica ou sindromes dolorosas,tratamento_dor_ou_neuropatia,principal_ou_contextual,,,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Topiramato,Dor neuropatica ou sindromes dolorosas,nao_tratamento_geral,nao_recomendado_como_geral,,Topiramato nao e tratamento geral de dor neuropatica.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Duloxetina,Fibromialgia,tratamento_ou_uso_contextual,principal_off_label_ou_evidencia_variavel,,Duloxetina principal; amitriptilina frequentemente off-label; venlafaxina limitada; mirtazapina variavel.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Amitriptilina,Fibromialgia,tratamento_ou_uso_contextual,principal_off_label_ou_evidencia_variavel,,Duloxetina principal; amitriptilina frequentemente off-label; venlafaxina limitada; mirtazapina variavel.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Venlafaxina,Fibromialgia,tratamento_ou_uso_contextual,principal_off_label_ou_evidencia_variavel,,Duloxetina principal; amitriptilina frequentemente off-label; venlafaxina limitada; mirtazapina variavel.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Mirtazapina,Fibromialgia,tratamento_ou_uso_contextual,principal_off_label_ou_evidencia_variavel,,Duloxetina principal; amitriptilina frequentemente off-label; venlafaxina limitada; mirtazapina variavel.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Topiramato,Enxaqueca - prevencao,prevencao_enxaqueca,principal_ou_contextual,,Valproato/divalproato exigem considerar riscos reprodutivos.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Amitriptilina,Enxaqueca - prevencao,prevencao_enxaqueca,principal_ou_contextual,,Valproato/divalproato exigem considerar riscos reprodutivos.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Valproato,Enxaqueca - prevencao,prevencao_enxaqueca,principal_ou_contextual,,Valproato/divalproato exigem considerar riscos reprodutivos.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Divalproato,Enxaqueca - prevencao,prevencao_enxaqueca,principal_ou_contextual,,Valproato/divalproato exigem considerar riscos reprodutivos.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Venlafaxina,Enxaqueca - prevencao,prevencao_enxaqueca,principal_ou_contextual,,Valproato/divalproato exigem considerar riscos reprodutivos.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Carbamazepina,Epilepsia,anticonvulsivante,neurologico_principal,,Nao agrupar como simples estabilizadores de humor; distinguir uso neurologico vs psiquiatrico.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Divalproato,Epilepsia,anticonvulsivante,neurologico_principal,,Nao agrupar como simples estabilizadores de humor; distinguir uso neurologico vs psiquiatrico.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Valproato,Epilepsia,anticonvulsivante,neurologico_principal,,Nao agrupar como simples estabilizadores de humor; distinguir uso neurologico vs psiquiatrico.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Lamotrigina,Epilepsia,anticonvulsivante,neurologico_principal,,Nao agrupar como simples estabilizadores de humor; distinguir uso neurologico vs psiquiatrico.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Oxcarbazepina,Epilepsia,anticonvulsivante,neurologico_principal,,Nao agrupar como simples estabilizadores de humor; distinguir uso neurologico vs psiquiatrico.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Topiramato,Epilepsia,anticonvulsivante,neurologico_principal,,Nao agrupar como simples estabilizadores de humor; distinguir uso neurologico vs psiquiatrico.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Fenitoina,Epilepsia,anticonvulsivante,neurologico_principal,,Nao agrupar como simples estabilizadores de humor; distinguir uso neurologico vs psiquiatrico.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Fenobarbital,Epilepsia,anticonvulsivante,neurologico_principal,,Nao agrupar como simples estabilizadores de humor; distinguir uso neurologico vs psiquiatrico.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Fenitoina,Uso psiquiatrico de anticonvulsivantes,uso_psiquiatrico_pouco_estabelecido_ou_nao_central,nao_ranking_rotineiro_sem_regra,,"Nao aparecer em ranking rotineiro para depressao, mania ou ansiedade sem regra especifica.",Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Fenobarbital,Uso psiquiatrico de anticonvulsivantes,uso_psiquiatrico_pouco_estabelecido_ou_nao_central,nao_ranking_rotineiro_sem_regra,,"Nao aparecer em ranking rotineiro para depressao, mania ou ansiedade sem regra especifica.",Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Oxcarbazepina,Uso psiquiatrico de anticonvulsivantes,uso_psiquiatrico_pouco_estabelecido_ou_nao_central,nao_ranking_rotineiro_sem_regra,,"Nao aparecer em ranking rotineiro para depressao, mania ou ansiedade sem regra especifica.",Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Topiramato,Uso psiquiatrico de anticonvulsivantes,uso_psiquiatrico_pouco_estabelecido_ou_nao_central,nao_ranking_rotineiro_sem_regra,,"Nao aparecer em ranking rotineiro para depressao, mania ou ansiedade sem regra especifica.",Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Naltrexona,Transtorno por uso de alcool,tratamento_principal_manutencao_prevencao_de_recaida,eligible_high_priority_if_no_opioids,reducao_consumo/prevencao_recaida/manutencao/pos_desintoxicacao,"Eleg?vel para reduzir fissura, reduzir consumo intenso e prevenir reca?da. N?o ? medicamento de resgate para abstin?ncia alco?lica aguda. Bloquear se uso atual/depend?ncia fisiol?gica de opioides ou hepatite aguda/insufici?ncia hep?tica relevante.",NICE CG115; FDA/DailyMed naltrexone; Stahl; Goodman & Gilman; referencia CTO pendente revisao formal,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Topiramato,Transtorno por uso de alcool,uso_off_label,off_label_contextual,,,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Valproato,Transtorno por uso de alcool,nao_tratamento_rotineiro,nao_recomendado_como_rotina,,Nao sao tratamentos rotineiros da dependencia alcoolica apenas por constarem na tabela.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Carbamazepina,Transtorno por uso de alcool,nao_tratamento_rotineiro,nao_recomendado_como_rotina,,Nao sao tratamentos rotineiros da dependencia alcoolica apenas por constarem na tabela.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Naltrexona,Transtorno por uso de opioides,tratamento_dependencia_opioide,principal_conforme_avaliacao,,"Verificar uso atual de opioide, tempo desde ultima dose, risco de abstinencia, funcao hepatica e necessidade de analgesia opioide.",Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Fluoxetina,Bulimia nervosa,tratamento_transtorno_alimentar,principal_ou_conforme_diretriz,,,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Topiramato,Transtorno de compulsao alimentar,uso_off_label,off_label_contextual,,,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Bupropiona,Transtorno de compulsao alimentar,nao_equivalente_a_combinacao,nao_recomendado_como_equivalente,,Bupropiona isolada nao equivale a combinacao naltrexona/bupropiona.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Sertralina,Transtornos alimentares - comorbidades,tratar_comorbidade,contextual,,"Podem tratar depressao/ansiedade associadas, mas nao automaticamente tratamento central.",Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Citalopram,Transtornos alimentares - comorbidades,tratar_comorbidade,contextual,,"Podem tratar depressao/ansiedade associadas, mas nao automaticamente tratamento central.",Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Escitalopram,Transtornos alimentares - comorbidades,tratar_comorbidade,contextual,,"Podem tratar depressao/ansiedade associadas, mas nao automaticamente tratamento central.",Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Fluoxetina,Transtornos alimentares - comorbidades,tratar_comorbidade,contextual,,"Podem tratar depressao/ansiedade associadas, mas nao automaticamente tratamento central.",Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Fluvoxamina,Transtornos alimentares - comorbidades,tratar_comorbidade,contextual,,"Podem tratar depressao/ansiedade associadas, mas nao automaticamente tratamento central.",Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Paroxetina,Transtornos alimentares - comorbidades,tratar_comorbidade,contextual,,"Podem tratar depressao/ansiedade associadas, mas nao automaticamente tratamento central.",Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
