medication_name,disease_or_context,role,status,phase,notes,source_reference,review_status,official_indication_match,official_indications_summary,official_source_anchor,evidence_review_status,next_review_action,runtime_eligible
Sertralina,Transtorno de estresse pos-traumatico,tratamento_tept,principal_ou_conforme_diretriz,,Nao classificar automaticamente antipsicoticos/sedativos como tratamento central do TEPT.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,false,Sertraline hydrochloride tablets are indicated for the treatment of the following [ See Clinical Studies (14)]: • Major depressive disorder (MDD) • Obsessive-compulsive disorder (OCD),https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4ddfd698-3d47-fc0e-e063-6394a90accec#1 INDICATIONS AND USAGE,no_direct_label_match_guideline_or_off_label_review_required,validate_in_guideline_or_systematic_evidence,false
Paroxetina,Transtorno de estresse pos-traumatico,tratamento_tept,principal_ou_conforme_diretriz,,Nao classificar automaticamente antipsicoticos/sedativos como tratamento central do TEPT.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,false,Paroxetine tablets are indicated in adults for the treatment of: Major depressive disorder (MDD) Obsessive compulsive disorder (OCD) Panic disorder (PD) Social anxiety disorder (SAD),https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=118320de-0632-4139-8b13-7428b41da0ac#1 INDICATIONS AND USAGE,no_direct_label_match_guideline_or_off_label_review_required,validate_in_guideline_or_systematic_evidence,false
Venlafaxina,Transtorno de estresse pos-traumatico,tratamento_tept,principal_ou_conforme_diretriz,,Nao classificar automaticamente antipsicoticos/sedativos como tratamento central do TEPT.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,false,"Venlafaxine tablets, USP are indicated for the treatment of major depressive disorder. The efficacy of venlafaxine tablets, USP in the treatment of major depressive disorder",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=38fd2c97-cd30-2f7d-e054-00144ff8d46c#INDICATIONS AND USAGE,no_direct_label_match_guideline_or_off_label_review_required,validate_in_guideline_or_systematic_evidence,false
Venlafaxina XR,Transtorno de estresse pos-traumatico,tratamento_tept,principal_ou_conforme_diretriz,,Nao classificar automaticamente antipsicoticos/sedativos como tratamento central do TEPT.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,false,"Venlafaxine tablets, USP are indicated for the treatment of major depressive disorder. The efficacy of venlafaxine tablets, USP in the treatment of major depressive disorder",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=38fd2c97-cd30-2f7d-e054-00144ff8d46c#INDICATIONS AND USAGE,no_direct_label_match_guideline_or_off_label_review_required,validate_in_guideline_or_systematic_evidence,false
Fluoxetina,Transtorno de estresse pos-traumatico,tratamento_tept,principal_ou_conforme_diretriz,,Nao classificar automaticamente antipsicoticos/sedativos como tratamento central do TEPT.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,false,"Fluoxetine tablets are indicated for the treatment of: Major Depressive Disorder (MDD). The efficacy of fluoxetine in MDD was established in one 5-week trial, three",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=77b6ae48-8e3a-42e6-9b5a-aeed750861e8#1 INDICATIONS AND USAGE,no_direct_label_match_guideline_or_off_label_review_required,validate_in_guideline_or_systematic_evidence,false
Quetiapina,Transtorno bipolar - episodio depressivo,tratamento_depressao_bipolar,principal_ou_conforme_diretriz,depressao_bipolar,Antidepressivos exigem avaliacao de risco de virada/ciclagem e usualmente estabilizador.,NICE CG185; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,false,Schizophrenia | Bipolar Disorder | Special Considerations in Treating Pediatric Schizophrenia and Bipolar I Disorder,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5643d339-50ea-405d-e063-6394a90a3b70#1. INDICATIONS AND USAGE,no_direct_label_match_guideline_or_off_label_review_required,validate_in_guideline_or_systematic_evidence,false
Lurasidona,Transtorno bipolar - episodio depressivo,tratamento_depressao_bipolar,principal_ou_conforme_diretriz,depressao_bipolar,Antidepressivos exigem avaliacao de risco de virada/ciclagem e usualmente estabilizador.,NICE CG185; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,false,Lurasidone hydrochloride tablets are indicated for: Treatment of adult and adolescent patients (13 to 17 years) with schizophrenia [see Clinical Studies (14.1)]. Monotherapy treatment of,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=b3e9cc86-0c5c-444f-ab57-f4d1a6865035#1 INDICATIONS AND USAGE,no_direct_label_match_guideline_or_off_label_review_required,validate_in_guideline_or_systematic_evidence,false
Lamotrigina,Transtorno bipolar - episodio depressivo,tratamento_depressao_bipolar,principal_ou_conforme_diretriz,depressao_bipolar,Antidepressivos exigem avaliacao de risco de virada/ciclagem e usualmente estabilizador.,NICE CG185; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,false,Epilepsy | Bipolar Disorder,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=55f41c7e-03a6-b84c-e063-6294a90a7d82#1 INDICATIONS AND USAGE,no_direct_label_match_guideline_or_off_label_review_required,validate_in_guideline_or_systematic_evidence,false
Litio,Transtorno bipolar - episodio depressivo,tratamento_depressao_bipolar,principal_ou_conforme_diretriz,depressao_bipolar,Antidepressivos exigem avaliacao de risco de virada/ciclagem e usualmente estabilizador.,NICE CG185; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,false,Lithium is a mood-stabilizing agent indicated as monotherapy for the treatment of bipolar I disorder: Treatment of acute manic and mixed episodes in patients 7,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=049902a9-3af1-4863-994e-15f36e7a9793#1 INDICATIONS AND USAGE,no_direct_label_match_guideline_or_off_label_review_required,validate_in_guideline_or_systematic_evidence,false
Olanzapina,Transtorno bipolar - episodio depressivo,tratamento_depressao_bipolar,principal_ou_conforme_diretriz,depressao_bipolar,Antidepressivos exigem avaliacao de risco de virada/ciclagem e usualmente estabilizador.,NICE CG185; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,true,Schizophrenia | Bipolar I Disorder (Manic or Mixed Episodes) | Monotherapy | Adjunctive Therapy to Lithium or Valproate | Special Considerations in Treating Pediatric Schizophrenia and Bipolar I Disorder | Olanzapine and Fluoxetine in Combination: Depressive Episodes Associated with Bipolar I Disorder | Olanzapine and Fluoxetine in Combination: Treatment Resistant Depression,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0ecbf540-572e-4ca4-b694-18ca1cd1c194#1 INDICATIONS AND USAGE,official_label_indication_match,editorial_review_of_indication_and_role,false
Valproato,Transtorno bipolar - episodio depressivo,tratamento_depressao_bipolar,principal_ou_conforme_diretriz,depressao_bipolar,Antidepressivos exigem avaliacao de risco de virada/ciclagem e usualmente estabilizador.,NICE CG185; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,false,Epilepsy | Important Limitations,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4b619f73-44e5-4a99-b425-a96cb2228c87#1 INDICATIONS AND USAGE,no_direct_label_match_guideline_or_off_label_review_required,validate_in_guideline_or_systematic_evidence,false
Divalproato,Transtorno bipolar - episodio depressivo,tratamento_depressao_bipolar,principal_ou_conforme_diretriz,depressao_bipolar,Antidepressivos exigem avaliacao de risco de virada/ciclagem e usualmente estabilizador.,NICE CG185; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,false,Mania | Epilepsy | Migraine | Important Limitations,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4ef6c5fd-42b2-4419-9b5a-e6d63571e3a0#1 INDICATIONS AND USAGE,no_direct_label_match_guideline_or_off_label_review_required,validate_in_guideline_or_systematic_evidence,false
Fluoxetina,Transtorno bipolar - episodio depressivo,associacao_especifica,associado_a_olanzapina_conforme_contexto,depressao_bipolar,Olanzapina associada a fluoxetina em determinados esquemas/contextos.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,false,"Fluoxetine tablets are indicated for the treatment of: Major Depressive Disorder (MDD). The efficacy of fluoxetine in MDD was established in one 5-week trial, three",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=77b6ae48-8e3a-42e6-9b5a-aeed750861e8#1 INDICATIONS AND USAGE,no_direct_label_match_guideline_or_off_label_review_required,validate_in_guideline_or_systematic_evidence,false
Amitriptilina,Transtorno bipolar - antidepressivo isolado,nao_usar_automaticamente_isolado,bloquear_sem_avaliacao_de_risco,,Nao aparecer como antidepressivo bipolar isolado automatico; avaliar risco de mania/ciclagem.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,false,For the relief of symptoms of depression. Endogenous depression is more likely to be alleviated than are other depressive states.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=35aa7ab3-321a-97f7-e063-6294a90a91e2#INDICATIONS AND USAGE,no_direct_label_match_guideline_or_off_label_review_required,validate_in_guideline_or_systematic_evidence,false
Clomipramina,Transtorno bipolar - antidepressivo isolado,nao_usar_automaticamente_isolado,bloquear_sem_avaliacao_de_risco,,Nao aparecer como antidepressivo bipolar isolado automatico; avaliar risco de mania/ciclagem.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,false,CALMERA tablets are to be used as part of a comprehensive behavioral management program to treat separation anxiety in dogs greater than 6 months of,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=2b1bcbd9-88be-4d46-8301-10daa805dc0e#Indications & Usage:,no_direct_label_match_guideline_or_off_label_review_required,validate_in_guideline_or_systematic_evidence,false
Imipramina,Transtorno bipolar - antidepressivo isolado,nao_usar_automaticamente_isolado,bloquear_sem_avaliacao_de_risco,,Nao aparecer como antidepressivo bipolar isolado automatico; avaliar risco de mania/ciclagem.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,false,Depression:For the relief of symptoms of depression. Endogenous depression is more likely to be alleviated than other depressive states. One to three weeks of treatment,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=51d3b181-0d15-4782-a966-feb137972b18#INDICATIONS AND USAGE,no_direct_label_match_guideline_or_off_label_review_required,validate_in_guideline_or_systematic_evidence,false
Venlafaxina,Transtorno bipolar - antidepressivo isolado,nao_usar_automaticamente_isolado,bloquear_sem_avaliacao_de_risco,,Nao aparecer como antidepressivo bipolar isolado automatico; avaliar risco de mania/ciclagem.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,false,"Venlafaxine tablets, USP are indicated for the treatment of major depressive disorder. The efficacy of venlafaxine tablets, USP in the treatment of major depressive disorder",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=38fd2c97-cd30-2f7d-e054-00144ff8d46c#INDICATIONS AND USAGE,no_direct_label_match_guideline_or_off_label_review_required,validate_in_guideline_or_systematic_evidence,false
Bupropiona,Transtorno bipolar - antidepressivo isolado,nao_usar_automaticamente_isolado,bloquear_sem_avaliacao_de_risco,,Nao aparecer como antidepressivo bipolar isolado automatico; avaliar risco de mania/ciclagem.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,false,Major Depressive Disorder | Seasonal Affective Disorder,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3ec04240-baef-44d7-8d73-a181171eec43#1 INDICATIONS AND USAGE,no_direct_label_match_guideline_or_off_label_review_required,validate_in_guideline_or_systematic_evidence,false
Citalopram,Transtorno bipolar - antidepressivo isolado,nao_usar_automaticamente_isolado,bloquear_sem_avaliacao_de_risco,,Nao aparecer como antidepressivo bipolar isolado automatico; avaliar risco de mania/ciclagem.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,false,Citalopram tablets are indicated for the treatment of major depressive disorder (MDD) in adults [see Clinical Studies ( 14)] .,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a7ef6ad2-5f22-4ac7-b57a-f498bcb53be1#1 INDICATIONS AND USAGE,no_direct_label_match_guideline_or_off_label_review_required,validate_in_guideline_or_systematic_evidence,false
Escitalopram,Transtorno bipolar - antidepressivo isolado,nao_usar_automaticamente_isolado,bloquear_sem_avaliacao_de_risco,,Nao aparecer como antidepressivo bipolar isolado automatico; avaliar risco de mania/ciclagem.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,false,Escitalopram tablets are indicated for the treatment of: major depressive disorder (MDD) in adults and pediatric patients 12 years of age and older. generalized anxiety,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=1b2ec266-be5b-9265-e063-6294a90a10e3#1 INDICATIONS AND USAGE,no_direct_label_match_guideline_or_off_label_review_required,validate_in_guideline_or_systematic_evidence,false
Fluoxetina,Transtorno bipolar - antidepressivo isolado,nao_usar_automaticamente_isolado,bloquear_sem_avaliacao_de_risco,,Nao aparecer como antidepressivo bipolar isolado automatico; avaliar risco de mania/ciclagem.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,false,"Fluoxetine tablets are indicated for the treatment of: Major Depressive Disorder (MDD). The efficacy of fluoxetine in MDD was established in one 5-week trial, three",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=77b6ae48-8e3a-42e6-9b5a-aeed750861e8#1 INDICATIONS AND USAGE,no_direct_label_match_guideline_or_off_label_review_required,validate_in_guideline_or_systematic_evidence,false
Fluvoxamina,Transtorno bipolar - antidepressivo isolado,nao_usar_automaticamente_isolado,bloquear_sem_avaliacao_de_risco,,Nao aparecer como antidepressivo bipolar isolado automatico; avaliar risco de mania/ciclagem.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,false,Obsessive-Compulsive Disorder,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0b107225-ed5a-4461-9184-f3f2bad1892f#1 INDICATIONS AND USAGE,no_direct_label_match_guideline_or_off_label_review_required,validate_in_guideline_or_systematic_evidence,false
Paroxetina,Transtorno bipolar - antidepressivo isolado,nao_usar_automaticamente_isolado,bloquear_sem_avaliacao_de_risco,,Nao aparecer como antidepressivo bipolar isolado automatico; avaliar risco de mania/ciclagem.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,false,Paroxetine tablets are indicated in adults for the treatment of: Major depressive disorder (MDD) Obsessive compulsive disorder (OCD) Panic disorder (PD) Social anxiety disorder (SAD),https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=118320de-0632-4139-8b13-7428b41da0ac#1 INDICATIONS AND USAGE,no_direct_label_match_guideline_or_off_label_review_required,validate_in_guideline_or_systematic_evidence,false
Sertralina,Transtorno bipolar - antidepressivo isolado,nao_usar_automaticamente_isolado,bloquear_sem_avaliacao_de_risco,,Nao aparecer como antidepressivo bipolar isolado automatico; avaliar risco de mania/ciclagem.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,false,Sertraline hydrochloride tablets are indicated for the treatment of the following [ See Clinical Studies (14)]: • Major depressive disorder (MDD) • Obsessive-compulsive disorder (OCD),https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4ddfd698-3d47-fc0e-e063-6394a90accec#1 INDICATIONS AND USAGE,no_direct_label_match_guideline_or_off_label_review_required,validate_in_guideline_or_systematic_evidence,false
Venlafaxina XR,Transtorno bipolar - antidepressivo isolado,nao_usar_automaticamente_isolado,bloquear_sem_avaliacao_de_risco,,Nao aparecer como antidepressivo bipolar isolado automatico; avaliar risco de mania/ciclagem.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,false,"Venlafaxine tablets, USP are indicated for the treatment of major depressive disorder. The efficacy of venlafaxine tablets, USP in the treatment of major depressive disorder",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=38fd2c97-cd30-2f7d-e054-00144ff8d46c#INDICATIONS AND USAGE,no_direct_label_match_guideline_or_off_label_review_required,validate_in_guideline_or_systematic_evidence,false
Desvenlafaxina,Transtorno bipolar - antidepressivo isolado,nao_usar_automaticamente_isolado,bloquear_sem_avaliacao_de_risco,,Nao aparecer como antidepressivo bipolar isolado automatico; avaliar risco de mania/ciclagem.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,false,PRISTIQ is indicated for the treatment of adults with major depressive disorder (MDD) [see Clinical Studies (14)].,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0f43610c-f290-46ea-d186-4f998ed99fce#1 INDICATIONS AND USAGE,no_direct_label_match_guideline_or_off_label_review_required,validate_in_guideline_or_systematic_evidence,false
Duloxetina,Transtorno bipolar - antidepressivo isolado,nao_usar_automaticamente_isolado,bloquear_sem_avaliacao_de_risco,,Nao aparecer como antidepressivo bipolar isolado automatico; avaliar risco de mania/ciclagem.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,false,1 INDICATIONS AND USAGE Duloxetine delayed-release capsule is a serotonin and norepinephrine reuptake inhibitor (SNRI) indicated for the treatment of the following conditions: Major depressive,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=569582d5-cb6d-735e-e063-6394a90abfb6#1 INDICATIONS AND USAGE,no_direct_label_match_guideline_or_off_label_review_required,validate_in_guideline_or_systematic_evidence,false
Vortioxetina,Transtorno bipolar - antidepressivo isolado,nao_usar_automaticamente_isolado,bloquear_sem_avaliacao_de_risco,,Nao aparecer como antidepressivo bipolar isolado automatico; avaliar risco de mania/ciclagem.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,false,TRINTELLIX is indicated for the treatment of major depressive disorder (MDD) in adults.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=cb1e9df4-dd74-4073-9d78-bb55593dd000#1 INDICATIONS AND USAGE,no_direct_label_match_guideline_or_off_label_review_required,validate_in_guideline_or_systematic_evidence,false
Vilazodona,Transtorno bipolar - antidepressivo isolado,nao_usar_automaticamente_isolado,bloquear_sem_avaliacao_de_risco,,Nao aparecer como antidepressivo bipolar isolado automatico; avaliar risco de mania/ciclagem.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,false,VIIBRYD® is indicated for the treatment of major depressive disorder (MDD) in adults [see Clinical Studies ( 14 )].,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4c55ccfb-c4cf-11df-851a-0800200c9a66#1 INDICATIONS AND USAGE,no_direct_label_match_guideline_or_off_label_review_required,validate_in_guideline_or_systematic_evidence,false
Litio,Transtorno bipolar - mania/hipomania,tratamento_mania_hipomania,principal_ou_conforme_diretriz,mania_aguda,,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,true,Lithium is a mood-stabilizing agent indicated as monotherapy for the treatment of bipolar I disorder: Treatment of acute manic and mixed episodes in patients 7,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=049902a9-3af1-4863-994e-15f36e7a9793#1 INDICATIONS AND USAGE,official_label_indication_match,editorial_review_of_indication_and_role,false
Valproato,Transtorno bipolar - mania/hipomania,tratamento_mania_hipomania,principal_ou_conforme_diretriz,mania_aguda,,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,false,Epilepsy | Important Limitations,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4b619f73-44e5-4a99-b425-a96cb2228c87#1 INDICATIONS AND USAGE,no_direct_label_match_guideline_or_off_label_review_required,validate_in_guideline_or_systematic_evidence,false
Divalproato,Transtorno bipolar - mania/hipomania,tratamento_mania_hipomania,principal_ou_conforme_diretriz,mania_aguda,,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,true,Mania | Epilepsy | Migraine | Important Limitations,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4ef6c5fd-42b2-4419-9b5a-e6d63571e3a0#1 INDICATIONS AND USAGE,official_label_indication_match,editorial_review_of_indication_and_role,false
Carbamazepina,Transtorno bipolar - mania/hipomania,tratamento_mania_hipomania,principal_ou_conforme_diretriz,mania_aguda,,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,false,Epilepsy | Trigeminal Neuralgia,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=8d409411-aa9f-4f3a-a52c-fbcb0c3ec053#INDICATIONS AND USAGE,no_direct_label_match_guideline_or_off_label_review_required,validate_in_guideline_or_systematic_evidence,false
Aripiprazol,Transtorno bipolar - mania/hipomania,tratamento_mania_hipomania,principal_ou_conforme_diretriz,mania_aguda,,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,true,Aripiprazole oral solution is indicated for the treatment of: • Schizophrenia [see Clinical Studies (14.1)] • Acute Treatment of Manic and Mixed Episodes associated with,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=042b725c-1c17-4cfb-80b2-c841226d795e#1 INDICATIONS AND USAGE,official_label_indication_match,editorial_review_of_indication_and_role,false
Olanzapina,Transtorno bipolar - mania/hipomania,tratamento_mania_hipomania,principal_ou_conforme_diretriz,mania_aguda,,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,true,Schizophrenia | Bipolar I Disorder (Manic or Mixed Episodes) | Monotherapy | Adjunctive Therapy to Lithium or Valproate | Special Considerations in Treating Pediatric Schizophrenia and Bipolar I Disorder | Olanzapine and Fluoxetine in Combination: Depressive Episodes Associated with Bipolar I Disorder | Olanzapine and Fluoxetine in Combination: Treatment Resistant Depression,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0ecbf540-572e-4ca4-b694-18ca1cd1c194#1 INDICATIONS AND USAGE,official_label_indication_match,editorial_review_of_indication_and_role,false
Quetiapina,Transtorno bipolar - mania/hipomania,tratamento_mania_hipomania,principal_ou_conforme_diretriz,mania_aguda,,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,true,Schizophrenia | Bipolar Disorder | Special Considerations in Treating Pediatric Schizophrenia and Bipolar I Disorder,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5643d339-50ea-405d-e063-6394a90a3b70#1. INDICATIONS AND USAGE,official_label_indication_match,editorial_review_of_indication_and_role,false
Risperidona,Transtorno bipolar - mania/hipomania,tratamento_mania_hipomania,principal_ou_conforme_diretriz,mania_aguda,,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,true,Schizophrenia | Bipolar Mania | Irritability Associated with Autistic Disorder,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5643c32b-310e-4888-e063-6394a90ab62f#1 INDICATIONS AND USAGE,official_label_indication_match,editorial_review_of_indication_and_role,false
Haloperidol,Transtorno bipolar - mania/hipomania,tratamento_mania_hipomania,principal_ou_conforme_diretriz,mania_aguda,,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,false,Haloperidol injection is indicated for the treatment of patients with schizophrenia.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e2eed126-cb82-42b1-9b48-9cbeb6873b50#INDICATIONS AND USAGE,no_direct_label_match_guideline_or_off_label_review_required,validate_in_guideline_or_systematic_evidence,false
Clorpromazina,Transtorno bipolar - mania/hipomania,tratamento_mania_hipomania,principal_ou_conforme_diretriz,mania_aguda,,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,false,For the management of manifestations of psychotic disorders. For the treatment of schizophrenia. To control nausea and vomiting. For relief of restlessness and apprehension before,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=aa086a21-de85-4b03-af58-49b70acf8cf0#INDICATIONS AND USAGE,no_direct_label_match_guideline_or_off_label_review_required,validate_in_guideline_or_systematic_evidence,false
Lurasidona,Transtorno bipolar - mania/hipomania,nao_central_para_mania_aguda,nao_recomendado_como_central,mania_aguda,Lurasidona nao e escolha central para mania; lamotrigina nao trata mania aguda.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,false,Lurasidone hydrochloride tablets are indicated for: Treatment of adult and adolescent patients (13 to 17 years) with schizophrenia [see Clinical Studies (14.1)]. Monotherapy treatment of,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=b3e9cc86-0c5c-444f-ab57-f4d1a6865035#1 INDICATIONS AND USAGE,no_direct_label_match_guideline_or_off_label_review_required,validate_in_guideline_or_systematic_evidence,false
Lamotrigina,Transtorno bipolar - mania/hipomania,nao_central_para_mania_aguda,nao_recomendado_como_central,mania_aguda,Lurasidona nao e escolha central para mania; lamotrigina nao trata mania aguda.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,false,Epilepsy | Bipolar Disorder,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=55f41c7e-03a6-b84c-e063-6294a90a7d82#1 INDICATIONS AND USAGE,no_direct_label_match_guideline_or_off_label_review_required,validate_in_guideline_or_systematic_evidence,false
Litio,Transtorno bipolar - manutencao,manutencao_bipolar,principal_ou_conforme_diretriz,manutencao,"Diferenciar prevencao de mania, depressao ou ambos os polos.",Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,false,Lithium is a mood-stabilizing agent indicated as monotherapy for the treatment of bipolar I disorder: Treatment of acute manic and mixed episodes in patients 7,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=049902a9-3af1-4863-994e-15f36e7a9793#1 INDICATIONS AND USAGE,no_direct_label_match_guideline_or_off_label_review_required,validate_in_guideline_or_systematic_evidence,false
