medication_id,medication_name,drug_class,condition_or_context,condition_key,dose_effect_band,dose_effect_min,dose_effect_max,dose_effect_goal,dominant_effect,mechanism_or_target,condition_range,condition_range_min,condition_range_max,range_source,strategy_if_below_range,strategy_if_within_range_partial_response,strategy_if_within_range_no_response,strategy_if_above_range,strategy_if_range_missing,dose_effect_source,evidence_status,notes
dosulepina,Dosulepina,Triciclico,TOC,TOC,75–150 mg/dia: faixa antidepressiva histórica. (DM/GG/NICE/PENDENTE),75,150,"humor, dor, sono",SEM_MUDANCA_QUALITATIVA. (DM/GG/NICE/PENDENTE),SEM_MUDANCA_QUALITATIVA. (DM/GG/NICE/PENDENTE),100-200 (TM/T1),100,200,TM/Aba 1/TOC,considerar_otimizacao_de_dose_ate_faixa_por_quadro,revisar_alvo_residual_tempo_adesao_e_considerar_troca_ou_associacao,considerar_substituicao_ou_revisao_diagnostica,revisar_seguranca_reducao_ou_troca,nao_afirmar_otimizacao_sem_faixa_por_quadro_cadastrada,"UK SmPC, Dosulepin Hydrochloride; British National Formulary; NICE Depression Guideline; Goodman & Gilman, 14ª ed.; DM:PENDENTE_PESQUISAR",source_reference_mapped_pending_formal_review,"Motor 2 cruza receita atual, dose-efeito e faixa por quadro. Uso para suporte a decisao medica; nao prescritivo."
dosulepina,Dosulepina,Triciclico,depressao melancolica,depressao_melancolica,75–150 mg/dia: faixa antidepressiva histórica. (DM/GG/NICE/PENDENTE),75,150,"humor, dor, sono",SEM_MUDANCA_QUALITATIVA. (DM/GG/NICE/PENDENTE),SEM_MUDANCA_QUALITATIVA. (DM/GG/NICE/PENDENTE),100-200 (TM/T1),100,200,TM/Aba 1/depressao melancolica,considerar_otimizacao_de_dose_ate_faixa_por_quadro,revisar_alvo_residual_tempo_adesao_e_considerar_troca_ou_associacao,considerar_substituicao_ou_revisao_diagnostica,revisar_seguranca_reducao_ou_troca,nao_afirmar_otimizacao_sem_faixa_por_quadro_cadastrada,"UK SmPC, Dosulepin Hydrochloride; British National Formulary; NICE Depression Guideline; Goodman & Gilman, 14ª ed.; DM:PENDENTE_PESQUISAR",source_reference_mapped_pending_formal_review,"Motor 2 cruza receita atual, dose-efeito e faixa por quadro. Uso para suporte a decisao medica; nao prescritivo."
dosulepina,Dosulepina,Triciclico,depressao ansiosa,depressao_ansiosa,75–150 mg/dia: faixa antidepressiva histórica. (DM/GG/NICE/PENDENTE),75,150,"humor, dor, sono",SEM_MUDANCA_QUALITATIVA. (DM/GG/NICE/PENDENTE),SEM_MUDANCA_QUALITATIVA. (DM/GG/NICE/PENDENTE),75-150 (TM/T1),75,150,TM/Aba 1/depressao ansiosa,considerar_otimizacao_de_dose_ate_faixa_por_quadro,revisar_alvo_residual_tempo_adesao_e_considerar_troca_ou_associacao,considerar_substituicao_ou_revisao_diagnostica,revisar_seguranca_reducao_ou_troca,nao_afirmar_otimizacao_sem_faixa_por_quadro_cadastrada,"UK SmPC, Dosulepin Hydrochloride; British National Formulary; NICE Depression Guideline; Goodman & Gilman, 14ª ed.; DM:PENDENTE_PESQUISAR",source_reference_mapped_pending_formal_review,"Motor 2 cruza receita atual, dose-efeito e faixa por quadro. Uso para suporte a decisao medica; nao prescritivo."
dosulepina,Dosulepina,Triciclico,compulsao,compulsao,75–150 mg/dia: faixa antidepressiva histórica. (DM/GG/NICE/PENDENTE),75,150,"humor, dor, sono",SEM_MUDANCA_QUALITATIVA. (DM/GG/NICE/PENDENTE),SEM_MUDANCA_QUALITATIVA. (DM/GG/NICE/PENDENTE),75-150 (TM/T1),75,150,TM/Aba 1/compulsao,considerar_otimizacao_de_dose_ate_faixa_por_quadro,revisar_alvo_residual_tempo_adesao_e_considerar_troca_ou_associacao,considerar_substituicao_ou_revisao_diagnostica,revisar_seguranca_reducao_ou_troca,nao_afirmar_otimizacao_sem_faixa_por_quadro_cadastrada,"UK SmPC, Dosulepin Hydrochloride; British National Formulary; NICE Depression Guideline; Goodman & Gilman, 14ª ed.; DM:PENDENTE_PESQUISAR",source_reference_mapped_pending_formal_review,"Motor 2 cruza receita atual, dose-efeito e faixa por quadro. Uso para suporte a decisao medica; nao prescritivo."
dosulepina,Dosulepina,Triciclico,ideacao suicida,ideacao_suicida,75–150 mg/dia: faixa antidepressiva histórica. (DM/GG/NICE/PENDENTE),75,150,"humor, dor, sono",SEM_MUDANCA_QUALITATIVA. (DM/GG/NICE/PENDENTE),SEM_MUDANCA_QUALITATIVA. (DM/GG/NICE/PENDENTE),100-200 (TM/T1),100,200,TM/Aba 1/ideacao suicida,considerar_otimizacao_de_dose_ate_faixa_por_quadro,revisar_alvo_residual_tempo_adesao_e_considerar_troca_ou_associacao,considerar_substituicao_ou_revisao_diagnostica,revisar_seguranca_reducao_ou_troca,nao_afirmar_otimizacao_sem_faixa_por_quadro_cadastrada,"UK SmPC, Dosulepin Hydrochloride; British National Formulary; NICE Depression Guideline; Goodman & Gilman, 14ª ed.; DM:PENDENTE_PESQUISAR",source_reference_mapped_pending_formal_review,"Motor 2 cruza receita atual, dose-efeito e faixa por quadro. Uso para suporte a decisao medica; nao prescritivo."
dosulepina,Dosulepina,Triciclico,Anorexia nervosa,bulimia_anorexia,75–150 mg/dia: faixa antidepressiva histórica. (DM/GG/NICE/PENDENTE),75,150,"humor, dor, sono",SEM_MUDANCA_QUALITATIVA. (DM/GG/NICE/PENDENTE),SEM_MUDANCA_QUALITATIVA. (DM/GG/NICE/PENDENTE),nao cadastrado,,,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,considerar_otimizacao_de_dose_ate_faixa_por_quadro,revisar_alvo_residual_tempo_adesao_e_considerar_troca_ou_associacao,considerar_substituicao_ou_revisao_diagnostica,revisar_seguranca_reducao_ou_troca,nao_afirmar_otimizacao_sem_faixa_por_quadro_cadastrada,"UK SmPC, Dosulepin Hydrochloride; British National Formulary; NICE Depression Guideline; Goodman & Gilman, 14ª ed.; DM:PENDENTE_PESQUISAR",source_reference_mapped_pending_formal_review,"Motor 2 cruza receita atual, dose-efeito e faixa por quadro. Uso para suporte a decisao medica; nao prescritivo."
dosulepina,Dosulepina,Triciclico,TAG,TAG,"Até 225 mg/dia: somente em contextos específicos, conforme referência local. (DM/GG/NICE/PENDENTE)",225,225,"humor, dor, sono",SEM_MUDANCA_QUALITATIVA. (DM/GG/NICE/PENDENTE),SEM_MUDANCA_QUALITATIVA. (DM/GG/NICE/PENDENTE),75-150 (TM/T1),75,150,TM/Aba 1/TAG,considerar_otimizacao_de_dose_ate_faixa_por_quadro,revisar_alvo_residual_tempo_adesao_e_considerar_troca_ou_associacao,considerar_substituicao_ou_revisao_diagnostica,revisar_seguranca_reducao_ou_troca,nao_afirmar_otimizacao_sem_faixa_por_quadro_cadastrada,"UK SmPC, Dosulepin Hydrochloride; British National Formulary; NICE Depression Guideline; Goodman & Gilman, 14ª ed.; DM:PENDENTE_PESQUISAR",source_reference_mapped_pending_formal_review,"Motor 2 cruza receita atual, dose-efeito e faixa por quadro. Uso para suporte a decisao medica; nao prescritivo."
dosulepina,Dosulepina,Triciclico,panico,panico,"Até 225 mg/dia: somente em contextos específicos, conforme referência local. (DM/GG/NICE/PENDENTE)",225,225,"humor, dor, sono",SEM_MUDANCA_QUALITATIVA. (DM/GG/NICE/PENDENTE),SEM_MUDANCA_QUALITATIVA. (DM/GG/NICE/PENDENTE),75-150 (TM/T1),75,150,TM/Aba 1/panico,considerar_otimizacao_de_dose_ate_faixa_por_quadro,revisar_alvo_residual_tempo_adesao_e_considerar_troca_ou_associacao,considerar_substituicao_ou_revisao_diagnostica,revisar_seguranca_reducao_ou_troca,nao_afirmar_otimizacao_sem_faixa_por_quadro_cadastrada,"UK SmPC, Dosulepin Hydrochloride; British National Formulary; NICE Depression Guideline; Goodman & Gilman, 14ª ed.; DM:PENDENTE_PESQUISAR",source_reference_mapped_pending_formal_review,"Motor 2 cruza receita atual, dose-efeito e faixa por quadro. Uso para suporte a decisao medica; nao prescritivo."
dosulepina,Dosulepina,Triciclico,fobia social,fobia_social,"Até 225 mg/dia: somente em contextos específicos, conforme referência local. (DM/GG/NICE/PENDENTE)",225,225,"humor, dor, sono",SEM_MUDANCA_QUALITATIVA. (DM/GG/NICE/PENDENTE),SEM_MUDANCA_QUALITATIVA. (DM/GG/NICE/PENDENTE),75-150 (TM/T1),75,150,TM/Aba 1/fobia social,considerar_otimizacao_de_dose_ate_faixa_por_quadro,revisar_alvo_residual_tempo_adesao_e_considerar_troca_ou_associacao,considerar_substituicao_ou_revisao_diagnostica,revisar_seguranca_reducao_ou_troca,nao_afirmar_otimizacao_sem_faixa_por_quadro_cadastrada,"UK SmPC, Dosulepin Hydrochloride; British National Formulary; NICE Depression Guideline; Goodman & Gilman, 14ª ed.; DM:PENDENTE_PESQUISAR",source_reference_mapped_pending_formal_review,"Motor 2 cruza receita atual, dose-efeito e faixa por quadro. Uso para suporte a decisao medica; nao prescritivo."
dosulepina,Dosulepina,Triciclico,TOC,TOC,"Até 225 mg/dia: somente em contextos específicos, conforme referência local. (DM/GG/NICE/PENDENTE)",225,225,"humor, dor, sono",SEM_MUDANCA_QUALITATIVA. (DM/GG/NICE/PENDENTE),SEM_MUDANCA_QUALITATIVA. (DM/GG/NICE/PENDENTE),100-200 (TM/T1),100,200,TM/Aba 1/TOC,considerar_otimizacao_de_dose_ate_faixa_por_quadro,revisar_alvo_residual_tempo_adesao_e_considerar_troca_ou_associacao,considerar_substituicao_ou_revisao_diagnostica,revisar_seguranca_reducao_ou_troca,nao_afirmar_otimizacao_sem_faixa_por_quadro_cadastrada,"UK SmPC, Dosulepin Hydrochloride; British National Formulary; NICE Depression Guideline; Goodman & Gilman, 14ª ed.; DM:PENDENTE_PESQUISAR",source_reference_mapped_pending_formal_review,"Motor 2 cruza receita atual, dose-efeito e faixa por quadro. Uso para suporte a decisao medica; nao prescritivo."
dosulepina,Dosulepina,Triciclico,depressao melancolica,depressao_melancolica,"Até 225 mg/dia: somente em contextos específicos, conforme referência local. (DM/GG/NICE/PENDENTE)",225,225,"humor, dor, sono",SEM_MUDANCA_QUALITATIVA. (DM/GG/NICE/PENDENTE),SEM_MUDANCA_QUALITATIVA. (DM/GG/NICE/PENDENTE),100-200 (TM/T1),100,200,TM/Aba 1/depressao melancolica,considerar_otimizacao_de_dose_ate_faixa_por_quadro,revisar_alvo_residual_tempo_adesao_e_considerar_troca_ou_associacao,considerar_substituicao_ou_revisao_diagnostica,revisar_seguranca_reducao_ou_troca,nao_afirmar_otimizacao_sem_faixa_por_quadro_cadastrada,"UK SmPC, Dosulepin Hydrochloride; British National Formulary; NICE Depression Guideline; Goodman & Gilman, 14ª ed.; DM:PENDENTE_PESQUISAR",source_reference_mapped_pending_formal_review,"Motor 2 cruza receita atual, dose-efeito e faixa por quadro. Uso para suporte a decisao medica; nao prescritivo."
dosulepina,Dosulepina,Triciclico,depressao ansiosa,depressao_ansiosa,"Até 225 mg/dia: somente em contextos específicos, conforme referência local. (DM/GG/NICE/PENDENTE)",225,225,"humor, dor, sono",SEM_MUDANCA_QUALITATIVA. (DM/GG/NICE/PENDENTE),SEM_MUDANCA_QUALITATIVA. (DM/GG/NICE/PENDENTE),75-150 (TM/T1),75,150,TM/Aba 1/depressao ansiosa,considerar_otimizacao_de_dose_ate_faixa_por_quadro,revisar_alvo_residual_tempo_adesao_e_considerar_troca_ou_associacao,considerar_substituicao_ou_revisao_diagnostica,revisar_seguranca_reducao_ou_troca,nao_afirmar_otimizacao_sem_faixa_por_quadro_cadastrada,"UK SmPC, Dosulepin Hydrochloride; British National Formulary; NICE Depression Guideline; Goodman & Gilman, 14ª ed.; DM:PENDENTE_PESQUISAR",source_reference_mapped_pending_formal_review,"Motor 2 cruza receita atual, dose-efeito e faixa por quadro. Uso para suporte a decisao medica; nao prescritivo."
dosulepina,Dosulepina,Triciclico,compulsao,compulsao,"Até 225 mg/dia: somente em contextos específicos, conforme referência local. (DM/GG/NICE/PENDENTE)",225,225,"humor, dor, sono",SEM_MUDANCA_QUALITATIVA. (DM/GG/NICE/PENDENTE),SEM_MUDANCA_QUALITATIVA. (DM/GG/NICE/PENDENTE),75-150 (TM/T1),75,150,TM/Aba 1/compulsao,considerar_otimizacao_de_dose_ate_faixa_por_quadro,revisar_alvo_residual_tempo_adesao_e_considerar_troca_ou_associacao,considerar_substituicao_ou_revisao_diagnostica,revisar_seguranca_reducao_ou_troca,nao_afirmar_otimizacao_sem_faixa_por_quadro_cadastrada,"UK SmPC, Dosulepin Hydrochloride; British National Formulary; NICE Depression Guideline; Goodman & Gilman, 14ª ed.; DM:PENDENTE_PESQUISAR",source_reference_mapped_pending_formal_review,"Motor 2 cruza receita atual, dose-efeito e faixa por quadro. Uso para suporte a decisao medica; nao prescritivo."
dosulepina,Dosulepina,Triciclico,ideacao suicida,ideacao_suicida,"Até 225 mg/dia: somente em contextos específicos, conforme referência local. (DM/GG/NICE/PENDENTE)",225,225,"humor, dor, sono",SEM_MUDANCA_QUALITATIVA. (DM/GG/NICE/PENDENTE),SEM_MUDANCA_QUALITATIVA. (DM/GG/NICE/PENDENTE),100-200 (TM/T1),100,200,TM/Aba 1/ideacao suicida,considerar_otimizacao_de_dose_ate_faixa_por_quadro,revisar_alvo_residual_tempo_adesao_e_considerar_troca_ou_associacao,considerar_substituicao_ou_revisao_diagnostica,revisar_seguranca_reducao_ou_troca,nao_afirmar_otimizacao_sem_faixa_por_quadro_cadastrada,"UK SmPC, Dosulepin Hydrochloride; British National Formulary; NICE Depression Guideline; Goodman & Gilman, 14ª ed.; DM:PENDENTE_PESQUISAR",source_reference_mapped_pending_formal_review,"Motor 2 cruza receita atual, dose-efeito e faixa por quadro. Uso para suporte a decisao medica; nao prescritivo."
dosulepina,Dosulepina,Triciclico,Anorexia nervosa,bulimia_anorexia,"Até 225 mg/dia: somente em contextos específicos, conforme referência local. (DM/GG/NICE/PENDENTE)",225,225,"humor, dor, sono",SEM_MUDANCA_QUALITATIVA. (DM/GG/NICE/PENDENTE),SEM_MUDANCA_QUALITATIVA. (DM/GG/NICE/PENDENTE),nao cadastrado,,,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,considerar_otimizacao_de_dose_ate_faixa_por_quadro,revisar_alvo_residual_tempo_adesao_e_considerar_troca_ou_associacao,considerar_substituicao_ou_revisao_diagnostica,revisar_seguranca_reducao_ou_troca,nao_afirmar_otimizacao_sem_faixa_por_quadro_cadastrada,"UK SmPC, Dosulepin Hydrochloride; British National Formulary; NICE Depression Guideline; Goodman & Gilman, 14ª ed.; DM:PENDENTE_PESQUISAR",source_reference_mapped_pending_formal_review,"Motor 2 cruza receita atual, dose-efeito e faixa por quadro. Uso para suporte a decisao medica; nao prescritivo."
doxepina,Doxepina,Triciclico,TAG,TAG,3–6 mg à noite: bloqueio H1 relativamente seletivo → tratamento da insônia; não corresponde a dose antidepressiva. (DM/ST-E/GG),1,6,"humor, dor, sono",MUDANCA_CLINICA_RELEVANTE_COM_A_DOSE. (DM/ST-E/GG),MUDANCA_CLINICA_RELEVANTE_COM_A_DOSE. (DM/ST-E/GG),75-150 (TM/T1),75,150,TM/Aba 1/TAG,considerar_otimizacao_de_dose_ate_faixa_por_quadro,revisar_alvo_residual_tempo_adesao_e_considerar_troca_ou_associacao,considerar_substituicao_ou_revisao_diagnostica,revisar_seguranca_reducao_ou_troca,nao_afirmar_otimizacao_sem_faixa_por_quadro_cadastrada,"FDA/Silenor Prescribing Information; DailyMed, Doxepin Hydrochloride Capsules; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c42333f8-1add-4f33-9458-6fe4436874a1",source_reference_mapped_pending_formal_review,"Motor 2 cruza receita atual, dose-efeito e faixa por quadro. Uso para suporte a decisao medica; nao prescritivo."
doxepina,Doxepina,Triciclico,panico,panico,3–6 mg à noite: bloqueio H1 relativamente seletivo → tratamento da insônia; não corresponde a dose antidepressiva. (DM/ST-E/GG),1,6,"humor, dor, sono",MUDANCA_CLINICA_RELEVANTE_COM_A_DOSE. (DM/ST-E/GG),MUDANCA_CLINICA_RELEVANTE_COM_A_DOSE. (DM/ST-E/GG),100-200 (TM/T1),100,200,TM/Aba 1/panico,considerar_otimizacao_de_dose_ate_faixa_por_quadro,revisar_alvo_residual_tempo_adesao_e_considerar_troca_ou_associacao,considerar_substituicao_ou_revisao_diagnostica,revisar_seguranca_reducao_ou_troca,nao_afirmar_otimizacao_sem_faixa_por_quadro_cadastrada,"FDA/Silenor Prescribing Information; DailyMed, Doxepin Hydrochloride Capsules; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c42333f8-1add-4f33-9458-6fe4436874a1",source_reference_mapped_pending_formal_review,"Motor 2 cruza receita atual, dose-efeito e faixa por quadro. Uso para suporte a decisao medica; nao prescritivo."
doxepina,Doxepina,Triciclico,fobia social,fobia_social,3–6 mg à noite: bloqueio H1 relativamente seletivo → tratamento da insônia; não corresponde a dose antidepressiva. (DM/ST-E/GG),1,6,"humor, dor, sono",MUDANCA_CLINICA_RELEVANTE_COM_A_DOSE. (DM/ST-E/GG),MUDANCA_CLINICA_RELEVANTE_COM_A_DOSE. (DM/ST-E/GG),75-150 (TM/T1),75,150,TM/Aba 1/fobia social,considerar_otimizacao_de_dose_ate_faixa_por_quadro,revisar_alvo_residual_tempo_adesao_e_considerar_troca_ou_associacao,considerar_substituicao_ou_revisao_diagnostica,revisar_seguranca_reducao_ou_troca,nao_afirmar_otimizacao_sem_faixa_por_quadro_cadastrada,"FDA/Silenor Prescribing Information; DailyMed, Doxepin Hydrochloride Capsules; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c42333f8-1add-4f33-9458-6fe4436874a1",source_reference_mapped_pending_formal_review,"Motor 2 cruza receita atual, dose-efeito e faixa por quadro. Uso para suporte a decisao medica; nao prescritivo."
doxepina,Doxepina,Triciclico,TOC,TOC,3–6 mg à noite: bloqueio H1 relativamente seletivo → tratamento da insônia; não corresponde a dose antidepressiva. (DM/ST-E/GG),1,6,"humor, dor, sono",MUDANCA_CLINICA_RELEVANTE_COM_A_DOSE. (DM/ST-E/GG),MUDANCA_CLINICA_RELEVANTE_COM_A_DOSE. (DM/ST-E/GG),100-200 (TM/T1),100,200,TM/Aba 1/TOC,considerar_otimizacao_de_dose_ate_faixa_por_quadro,revisar_alvo_residual_tempo_adesao_e_considerar_troca_ou_associacao,considerar_substituicao_ou_revisao_diagnostica,revisar_seguranca_reducao_ou_troca,nao_afirmar_otimizacao_sem_faixa_por_quadro_cadastrada,"FDA/Silenor Prescribing Information; DailyMed, Doxepin Hydrochloride Capsules; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c42333f8-1add-4f33-9458-6fe4436874a1",source_reference_mapped_pending_formal_review,"Motor 2 cruza receita atual, dose-efeito e faixa por quadro. Uso para suporte a decisao medica; nao prescritivo."
doxepina,Doxepina,Triciclico,depressao melancolica,depressao_melancolica,3–6 mg à noite: bloqueio H1 relativamente seletivo → tratamento da insônia; não corresponde a dose antidepressiva. (DM/ST-E/GG),1,6,"humor, dor, sono",MUDANCA_CLINICA_RELEVANTE_COM_A_DOSE. (DM/ST-E/GG),MUDANCA_CLINICA_RELEVANTE_COM_A_DOSE. (DM/ST-E/GG),100-200 (TM/T1),100,200,TM/Aba 1/depressao melancolica,considerar_otimizacao_de_dose_ate_faixa_por_quadro,revisar_alvo_residual_tempo_adesao_e_considerar_troca_ou_associacao,considerar_substituicao_ou_revisao_diagnostica,revisar_seguranca_reducao_ou_troca,nao_afirmar_otimizacao_sem_faixa_por_quadro_cadastrada,"FDA/Silenor Prescribing Information; DailyMed, Doxepin Hydrochloride Capsules; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c42333f8-1add-4f33-9458-6fe4436874a1",source_reference_mapped_pending_formal_review,"Motor 2 cruza receita atual, dose-efeito e faixa por quadro. Uso para suporte a decisao medica; nao prescritivo."
doxepina,Doxepina,Triciclico,depressao ansiosa,depressao_ansiosa,3–6 mg à noite: bloqueio H1 relativamente seletivo → tratamento da insônia; não corresponde a dose antidepressiva. (DM/ST-E/GG),1,6,"humor, dor, sono",MUDANCA_CLINICA_RELEVANTE_COM_A_DOSE. (DM/ST-E/GG),MUDANCA_CLINICA_RELEVANTE_COM_A_DOSE. (DM/ST-E/GG),100-200 (TM/T1),100,200,TM/Aba 1/depressao ansiosa,considerar_otimizacao_de_dose_ate_faixa_por_quadro,revisar_alvo_residual_tempo_adesao_e_considerar_troca_ou_associacao,considerar_substituicao_ou_revisao_diagnostica,revisar_seguranca_reducao_ou_troca,nao_afirmar_otimizacao_sem_faixa_por_quadro_cadastrada,"FDA/Silenor Prescribing Information; DailyMed, Doxepin Hydrochloride Capsules; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c42333f8-1add-4f33-9458-6fe4436874a1",source_reference_mapped_pending_formal_review,"Motor 2 cruza receita atual, dose-efeito e faixa por quadro. Uso para suporte a decisao medica; nao prescritivo."
doxepina,Doxepina,Triciclico,depressao com agitacao/agressividade,depressao_com_agitacao_agressiva,3–6 mg à noite: bloqueio H1 relativamente seletivo → tratamento da insônia; não corresponde a dose antidepressiva. (DM/ST-E/GG),1,6,"humor, dor, sono",MUDANCA_CLINICA_RELEVANTE_COM_A_DOSE. (DM/ST-E/GG),MUDANCA_CLINICA_RELEVANTE_COM_A_DOSE. (DM/ST-E/GG),100-200 (TM/T1),100,200,TM/Aba 1/depressao com agitacao/agressividade,considerar_otimizacao_de_dose_ate_faixa_por_quadro,revisar_alvo_residual_tempo_adesao_e_considerar_troca_ou_associacao,considerar_substituicao_ou_revisao_diagnostica,revisar_seguranca_reducao_ou_troca,nao_afirmar_otimizacao_sem_faixa_por_quadro_cadastrada,"FDA/Silenor Prescribing Information; DailyMed, Doxepin Hydrochloride Capsules; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c42333f8-1add-4f33-9458-6fe4436874a1",source_reference_mapped_pending_formal_review,"Motor 2 cruza receita atual, dose-efeito e faixa por quadro. Uso para suporte a decisao medica; nao prescritivo."
doxepina,Doxepina,Triciclico,compulsao,compulsao,3–6 mg à noite: bloqueio H1 relativamente seletivo → tratamento da insônia; não corresponde a dose antidepressiva. (DM/ST-E/GG),1,6,"humor, dor, sono",MUDANCA_CLINICA_RELEVANTE_COM_A_DOSE. (DM/ST-E/GG),MUDANCA_CLINICA_RELEVANTE_COM_A_DOSE. (DM/ST-E/GG),100-200 (TM/T1),100,200,TM/Aba 1/compulsao,considerar_otimizacao_de_dose_ate_faixa_por_quadro,revisar_alvo_residual_tempo_adesao_e_considerar_troca_ou_associacao,considerar_substituicao_ou_revisao_diagnostica,revisar_seguranca_reducao_ou_troca,nao_afirmar_otimizacao_sem_faixa_por_quadro_cadastrada,"FDA/Silenor Prescribing Information; DailyMed, Doxepin Hydrochloride Capsules; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c42333f8-1add-4f33-9458-6fe4436874a1",source_reference_mapped_pending_formal_review,"Motor 2 cruza receita atual, dose-efeito e faixa por quadro. Uso para suporte a decisao medica; nao prescritivo."
doxepina,Doxepina,Triciclico,bulimia/anorexia,bulimia_anorexia,3–6 mg à noite: bloqueio H1 relativamente seletivo → tratamento da insônia; não corresponde a dose antidepressiva. (DM/ST-E/GG),1,6,"humor, dor, sono",MUDANCA_CLINICA_RELEVANTE_COM_A_DOSE. (DM/ST-E/GG),MUDANCA_CLINICA_RELEVANTE_COM_A_DOSE. (DM/ST-E/GG),100-200 B (TM/T1),100,200,TM/Aba 1/bulimia/anorexia,considerar_otimizacao_de_dose_ate_faixa_por_quadro,revisar_alvo_residual_tempo_adesao_e_considerar_troca_ou_associacao,considerar_substituicao_ou_revisao_diagnostica,revisar_seguranca_reducao_ou_troca,nao_afirmar_otimizacao_sem_faixa_por_quadro_cadastrada,"FDA/Silenor Prescribing Information; DailyMed, Doxepin Hydrochloride Capsules; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c42333f8-1add-4f33-9458-6fe4436874a1",source_reference_mapped_pending_formal_review,"Motor 2 cruza receita atual, dose-efeito e faixa por quadro. Uso para suporte a decisao medica; nao prescritivo."
doxepina,Doxepina,Triciclico,ideacao suicida,ideacao_suicida,3–6 mg à noite: bloqueio H1 relativamente seletivo → tratamento da insônia; não corresponde a dose antidepressiva. (DM/ST-E/GG),1,6,"humor, dor, sono",MUDANCA_CLINICA_RELEVANTE_COM_A_DOSE. (DM/ST-E/GG),MUDANCA_CLINICA_RELEVANTE_COM_A_DOSE. (DM/ST-E/GG),100-200 (TM/T1),100,200,TM/Aba 1/ideacao suicida,considerar_otimizacao_de_dose_ate_faixa_por_quadro,revisar_alvo_residual_tempo_adesao_e_considerar_troca_ou_associacao,considerar_substituicao_ou_revisao_diagnostica,revisar_seguranca_reducao_ou_troca,nao_afirmar_otimizacao_sem_faixa_por_quadro_cadastrada,"FDA/Silenor Prescribing Information; DailyMed, Doxepin Hydrochloride Capsules; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c42333f8-1add-4f33-9458-6fe4436874a1",source_reference_mapped_pending_formal_review,"Motor 2 cruza receita atual, dose-efeito e faixa por quadro. Uso para suporte a decisao medica; nao prescritivo."
doxepina,Doxepina,Triciclico,Insonia,,3–6 mg à noite: bloqueio H1 relativamente seletivo → tratamento da insônia; não corresponde a dose antidepressiva. (DM/ST-E/GG),1,6,"humor, dor, sono",MUDANCA_CLINICA_RELEVANTE_COM_A_DOSE. (DM/ST-E/GG),MUDANCA_CLINICA_RELEVANTE_COM_A_DOSE. (DM/ST-E/GG),nao cadastrado,,,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,considerar_otimizacao_de_dose_ate_faixa_por_quadro,revisar_alvo_residual_tempo_adesao_e_considerar_troca_ou_associacao,considerar_substituicao_ou_revisao_diagnostica,revisar_seguranca_reducao_ou_troca,nao_afirmar_otimizacao_sem_faixa_por_quadro_cadastrada,"FDA/Silenor Prescribing Information; DailyMed, Doxepin Hydrochloride Capsules; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c42333f8-1add-4f33-9458-6fe4436874a1",source_reference_mapped_pending_formal_review,"Motor 2 cruza receita atual, dose-efeito e faixa por quadro. Uso para suporte a decisao medica; nao prescritivo."
