case,kind,axis,condition,medication,candidate,quadro,faixa,range_kind,dose,leitura_da_dose,status
52,prescription,humor/TEPT,Dor neuropatica ou sindromes dolorosas,Venlafaxina,yes,TAG,75-225 (TM/T1),quadro,75.0,yes,ok
52,prescription,ansiedade/resgate,Transtorno de ansiedade generalizada,Diazepam,yes,TAG,2-10 (TM/T1),quadro,6.0,yes,ok
53,prescription,humor/TEPT,Dor neuropatica ou sindromes dolorosas,Venlafaxina XR,yes,TAG,75-225 (TM/T1),quadro,150.0,yes,ok
53,prescription,ansiedade/resgate,Transtorno de ansiedade generalizada,Lorazepam,yes,Ansiedade grave,"0,5-1 mg por tomada: ansiolitico. 1-2 mg por tomada: maior sedacao e controle de agitacao. Protocolos de catatonia exigem avaliacao e monitorizacao. (DM/ANVISA/Maudsley)",dose_efeito,2.0,yes,ok
53,prescription,sono/sedacao,Esquizofrenia e transtornos psicoticos,Quetiapina,yes,Esquizofrenia e transtornos psicoticos,150-750 mg/dia (DM),quadro,150.0,yes,ok
54,prescription,humor/TEPT,Dor neuropatica ou sindromes dolorosas,Duloxetina,yes,TAG,60-120 (TM/T1),quadro,120.0,yes,ok
54,prescription,sono/sedacao,Esquizofrenia e transtornos psicoticos,Quetiapina,yes,Esquizofrenia e transtornos psicoticos,150-750 mg/dia (DM),quadro,150.0,yes,ok
54,prescription,ansiedade/resgate,Transtorno bipolar - manutencao,Clonazepam,yes,Transtorno do panico,"0,5-1 mg/dia (DM)",quadro,0.75,yes,ok
54,prescription,substancias/craving,Dor neuropatica ou sindromes dolorosas,Buprenorfina,yes,Transtorno por uso de opioides,Inducao deve considerar tipo e momento do ultimo opioide. Manutencao comum 8-24 mg/dia sublingual; formulacoes injetaveis mensais possuem esquemas proprios. (DM/ANVISA),dose_efeito,24.0,yes,ok
55,prescription,humor/TEPT,Transtorno depressivo maior,Fluoxetina,yes,transtorno de estresse,20-60 (TM/T1),quadro,20.0,yes,ok
55,prescription,sono/sedacao,Insonia,Zolpidem,yes,Insonia,"5 mg a noite: menor exposicao. 5-10 mg a noite liberacao imediata: inducao do sono. Formulacao prolongada tem dose propria. Doses maiores aumentam amnesia, comportamentos complexos e prejuizo no dia seguinte. (DM/ANVISA)",dose_efeito,7.5,yes,ok
55,prescription,ansiedade/resgate,Transtorno de ansiedade generalizada,Bromazepam,yes,Ansiedade aguda,6-18 mg/dia (HC),quadro,18.0,yes,ok
55,prescription,impulsividade/irritabilidade,Transtorno bipolar - manutencao,Carbamazepina,yes,Transtorno bipolar - manutencao,200–400 mg/dia: início/titulação. (DM/GG/Maudsley/CANMAT/ISBD),dose_efeito,200.0,yes,ok
55,prescription,substancias/craving,Transtorno por uso de alcool,Acamprosato,yes,Transtorno por uso de alcool,Dose usual depende de peso e funcao renal. Esquema adulto frequente: 666 mg tres vezes/dia. Nao trata intoxicacao nem abstinencia aguda. (DM/ANVISA/APA/NICE/PENDENTE),dose_efeito,666.0,yes,ok
56,prescription,humor/TEPT,Transtorno de ansiedade generalizada,Sertralina,yes,transtorno de estresse,50-200 (TM/T1),quadro,125.0,yes,ok
57,prescription,humor/TEPT,Transtorno de ansiedade generalizada,Desvenlafaxina,yes,transtorno de estresse,50-100 (TM/T1),quadro,100.0,yes,ok
57,prescription,ansiedade/resgate,Transtorno de ansiedade generalizada,Diazepam,yes,TAG,2-10 (TM/T1),quadro,2.0,yes,ok
58,prescription,humor/TEPT,Dor neuropatica ou sindromes dolorosas,Venlafaxina,yes,TAG,75-225 (TM/T1),quadro,75.0,yes,ok
58,prescription,ansiedade/resgate,Transtorno de ansiedade generalizada,Lorazepam,yes,Ansiedade grave,"0,5-1 mg por tomada: ansiolitico. 1-2 mg por tomada: maior sedacao e controle de agitacao. Protocolos de catatonia exigem avaliacao e monitorizacao. (DM/ANVISA/Maudsley)",dose_efeito,1.25,yes,ok
58,prescription,sono/sedacao,Insonia,Zolpidem,yes,Insonia,"5 mg a noite: menor exposicao. 5-10 mg a noite liberacao imediata: inducao do sono. Formulacao prolongada tem dose propria. Doses maiores aumentam amnesia, comportamentos complexos e prejuizo no dia seguinte. (DM/ANVISA)",dose_efeito,10.0,yes,ok
59,prescription,humor/TEPT,Dor neuropatica ou sindromes dolorosas,Venlafaxina XR,yes,TAG,75-225 (TM/T1),quadro,150.0,yes,ok
59,prescription,sono/sedacao,Insonia,Zolpidem,yes,Insonia,"5 mg a noite: menor exposicao. 5-10 mg a noite liberacao imediata: inducao do sono. Formulacao prolongada tem dose propria. Doses maiores aumentam amnesia, comportamentos complexos e prejuizo no dia seguinte. (DM/ANVISA)",dose_efeito,10.0,yes,ok
59,prescription,ansiedade/resgate,Transtorno bipolar - manutencao,Clonazepam,yes,Transtorno do panico,"0,5-1 mg/dia (DM)",quadro,0.5,yes,ok
59,prescription,substancias/craving,Transtorno por uso de alcool,Acamprosato,yes,Transtorno por uso de alcool,Dose usual depende de peso e funcao renal. Esquema adulto frequente: 666 mg tres vezes/dia. Nao trata intoxicacao nem abstinencia aguda. (DM/ANVISA/APA/NICE/PENDENTE),dose_efeito,666.0,yes,ok
60,prescription,humor/TEPT,Dor neuropatica ou sindromes dolorosas,Duloxetina,yes,TAG,60-120 (TM/T1),quadro,120.0,yes,ok
60,prescription,sono/sedacao,Insonia,Trazodona,yes,Insonia,25-100 mg a noite (DM/ST-E/GG),quadro,25.0,yes,ok
60,prescription,ansiedade/resgate,Transtorno de ansiedade generalizada,Bromazepam,yes,Ansiedade aguda,6-18 mg/dia (HC),quadro,12.0,yes,ok
60,prescription,impulsividade/irritabilidade,Esquizofrenia e transtornos psicoticos,Quetiapina,yes,Esquizofrenia e transtornos psicoticos,150-750 mg/dia (DM),quadro,750.0,yes,ok
60,prescription,substancias/craving,Transtorno por uso de alcool,Naltrexona,yes,vicios,25-50 (TM/T1),quadro,25.0,yes,ok
61,prescription,humor/TEPT,Transtorno depressivo maior,Fluoxetina,yes,transtorno de estresse,20-60 (TM/T1),quadro,20.0,yes,ok
62,prescription,humor/TEPT,Transtorno de ansiedade generalizada,Sertralina,yes,transtorno de estresse,50-200 (TM/T1),quadro,125.0,yes,ok
62,prescription,ansiedade/resgate,Transtorno de ansiedade generalizada,Diazepam,yes,TAG,2-10 (TM/T1),quadro,10.0,yes,ok
63,prescription,humor/TEPT,Transtorno de ansiedade generalizada,Desvenlafaxina,yes,transtorno de estresse,50-100 (TM/T1),quadro,100.0,yes,ok
63,prescription,ansiedade/resgate,Transtorno de ansiedade generalizada,Lorazepam,yes,Ansiedade grave,"0,5-1 mg por tomada: ansiolitico. 1-2 mg por tomada: maior sedacao e controle de agitacao. Protocolos de catatonia exigem avaliacao e monitorizacao. (DM/ANVISA/Maudsley)",dose_efeito,0.5,yes,ok
63,prescription,sono/sedacao,Insonia,Trazodona,yes,Insonia,25-100 mg a noite (DM/ST-E/GG),quadro,62.5,yes,ok
64,prescription,humor/TEPT,Dor neuropatica ou sindromes dolorosas,Venlafaxina,yes,TAG,75-225 (TM/T1),quadro,75.0,yes,ok
64,prescription,sono/sedacao,Insonia,Trazodona,yes,Insonia,25-100 mg a noite (DM/ST-E/GG),quadro,62.5,yes,ok
64,prescription,ansiedade/resgate,Transtorno bipolar - manutencao,Clonazepam,yes,Transtorno do panico,"0,5-1 mg/dia (DM)",quadro,1.0,yes,ok
64,prescription,substancias/craving,Transtorno por uso de alcool,Naltrexona,yes,vicios,25-50 (TM/T1),quadro,25.0,yes,ok
65,prescription,humor/TEPT,Dor neuropatica ou sindromes dolorosas,Venlafaxina XR,yes,TAG,75-225 (TM/T1),quadro,150.0,yes,ok
65,prescription,sono/sedacao,Insonia,Mirtazapina,yes,TAG,15-45 (TM/T1),quadro,45.0,yes,ok
65,prescription,ansiedade/resgate,Transtorno de ansiedade generalizada,Bromazepam,yes,Ansiedade aguda,6-18 mg/dia (HC),quadro,6.0,yes,ok
65,prescription,impulsividade/irritabilidade,Esquizofrenia e transtornos psicoticos,Risperidona,yes,Esquizofrenia e transtornos psicoticos,"0,25–1 mg/dia: baixa exposição e usos específicos. (DM/ST-PG/ST-E/GG/Maudsley)",dose_efeito,0.625,yes,ok
65,prescription,substancias/craving,Dor neuropatica ou sindromes dolorosas,Buprenorfina,yes,Transtorno por uso de opioides,Inducao deve considerar tipo e momento do ultimo opioide. Manutencao comum 8-24 mg/dia sublingual; formulacoes injetaveis mensais possuem esquemas proprios. (DM/ANVISA),dose_efeito,24.0,yes,ok
66,prescription,humor/TEPT,Dor neuropatica ou sindromes dolorosas,Duloxetina,yes,TAG,60-120 (TM/T1),quadro,120.0,yes,ok
67,prescription,humor/TEPT,Transtorno depressivo maior,Fluoxetina,yes,transtorno de estresse,20-60 (TM/T1),quadro,20.0,yes,ok
67,prescription,ansiedade/resgate,Transtorno de ansiedade generalizada,Diazepam,yes,TAG,2-10 (TM/T1),quadro,6.0,yes,ok
68,prescription,humor/TEPT,Transtorno de ansiedade generalizada,Sertralina,yes,transtorno de estresse,50-200 (TM/T1),quadro,125.0,yes,ok
68,prescription,ansiedade/resgate,Transtorno de ansiedade generalizada,Lorazepam,yes,Ansiedade grave,"0,5-1 mg por tomada: ansiolitico. 1-2 mg por tomada: maior sedacao e controle de agitacao. Protocolos de catatonia exigem avaliacao e monitorizacao. (DM/ANVISA/Maudsley)",dose_efeito,2.0,yes,ok
68,prescription,sono/sedacao,Insonia,Mirtazapina,yes,TAG,15-45 (TM/T1),quadro,15.0,yes,ok
69,prescription,humor/TEPT,Transtorno de ansiedade generalizada,Desvenlafaxina,yes,transtorno de estresse,50-100 (TM/T1),quadro,100.0,yes,ok
69,prescription,sono/sedacao,Insonia,Mirtazapina,yes,TAG,15-45 (TM/T1),quadro,15.0,yes,ok
69,prescription,ansiedade/resgate,Transtorno bipolar - manutencao,Clonazepam,yes,Transtorno do panico,"0,5-1 mg/dia (DM)",quadro,0.75,yes,ok
69,prescription,substancias/craving,Dor neuropatica ou sindromes dolorosas,Buprenorfina,yes,Transtorno por uso de opioides,Inducao deve considerar tipo e momento do ultimo opioide. Manutencao comum 8-24 mg/dia sublingual; formulacoes injetaveis mensais possuem esquemas proprios. (DM/ANVISA),dose_efeito,24.0,yes,ok
70,prescription,humor/TEPT,Dor neuropatica ou sindromes dolorosas,Venlafaxina,yes,TAG,75-225 (TM/T1),quadro,75.0,yes,ok
70,prescription,sono/sedacao,Esquizofrenia e transtornos psicoticos,Quetiapina,yes,Esquizofrenia e transtornos psicoticos,150-750 mg/dia (DM),quadro,450.0,yes,ok
70,prescription,ansiedade/resgate,Transtorno de ansiedade generalizada,Bromazepam,yes,Ansiedade aguda,6-18 mg/dia (HC),quadro,18.0,yes,ok
70,prescription,impulsividade/irritabilidade,Transtorno bipolar - manutencao,Divalproato,yes,Transtorno bipolar - mania/hipomania,750 mg/dia ate resposta; alvo serico 50-125 mcg/mL (DM),quadro,750.0,yes,ok
70,prescription,substancias/craving,Transtorno por uso de alcool,Acamprosato,yes,Transtorno por uso de alcool,Dose usual depende de peso e funcao renal. Esquema adulto frequente: 666 mg tres vezes/dia. Nao trata intoxicacao nem abstinencia aguda. (DM/ANVISA/APA/NICE/PENDENTE),dose_efeito,666.0,yes,ok
71,prescription,humor/TEPT,Dor neuropatica ou sindromes dolorosas,Venlafaxina XR,yes,TAG,75-225 (TM/T1),quadro,150.0,yes,ok
72,prescription,humor/TEPT,Dor neuropatica ou sindromes dolorosas,Duloxetina,yes,TAG,60-120 (TM/T1),quadro,120.0,yes,ok
72,prescription,ansiedade/resgate,Transtorno de ansiedade generalizada,Diazepam,yes,TAG,2-10 (TM/T1),quadro,2.0,yes,ok
73,prescription,humor/TEPT,Transtorno depressivo maior,Fluoxetina,yes,transtorno de estresse,20-60 (TM/T1),quadro,20.0,yes,ok
73,prescription,ansiedade/resgate,Transtorno de ansiedade generalizada,Lorazepam,yes,Ansiedade grave,"0,5-1 mg por tomada: ansiolitico. 1-2 mg por tomada: maior sedacao e controle de agitacao. Protocolos de catatonia exigem avaliacao e monitorizacao. (DM/ANVISA/Maudsley)",dose_efeito,1.25,yes,ok
73,prescription,sono/sedacao,Esquizofrenia e transtornos psicoticos,Quetiapina,yes,Esquizofrenia e transtornos psicoticos,150-750 mg/dia (DM),quadro,750.0,yes,ok
74,prescription,humor/TEPT,Transtorno de ansiedade generalizada,Sertralina,yes,transtorno de estresse,50-200 (TM/T1),quadro,125.0,yes,ok
74,prescription,sono/sedacao,Esquizofrenia e transtornos psicoticos,Quetiapina,yes,Esquizofrenia e transtornos psicoticos,150-750 mg/dia (DM),quadro,750.0,yes,ok
74,prescription,ansiedade/resgate,Transtorno bipolar - manutencao,Clonazepam,yes,Transtorno do panico,"0,5-1 mg/dia (DM)",quadro,0.5,yes,ok
74,prescription,substancias/craving,Transtorno por uso de alcool,Acamprosato,yes,Transtorno por uso de alcool,Dose usual depende de peso e funcao renal. Esquema adulto frequente: 666 mg tres vezes/dia. Nao trata intoxicacao nem abstinencia aguda. (DM/ANVISA/APA/NICE/PENDENTE),dose_efeito,666.0,yes,ok
75,prescription,humor/TEPT,Transtorno de ansiedade generalizada,Desvenlafaxina,yes,transtorno de estresse,50-100 (TM/T1),quadro,100.0,yes,ok
75,prescription,sono/sedacao,Insonia,Zolpidem,yes,Insonia,"5 mg a noite: menor exposicao. 5-10 mg a noite liberacao imediata: inducao do sono. Formulacao prolongada tem dose propria. Doses maiores aumentam amnesia, comportamentos complexos e prejuizo no dia seguinte. (DM/ANVISA)",dose_efeito,5.0,yes,ok
75,prescription,ansiedade/resgate,Transtorno de ansiedade generalizada,Bromazepam,yes,Ansiedade aguda,6-18 mg/dia (HC),quadro,12.0,yes,ok
75,prescription,impulsividade/irritabilidade,Transtorno bipolar - manutencao,Carbamazepina,yes,Transtorno bipolar - manutencao,200–400 mg/dia: início/titulação. (DM/GG/Maudsley/CANMAT/ISBD),dose_efeito,400.0,yes,ok
75,prescription,substancias/craving,Transtorno por uso de alcool,Naltrexona,yes,vicios,25-50 (TM/T1),quadro,25.0,yes,ok
76,prescription,humor/TEPT,Dor neuropatica ou sindromes dolorosas,Venlafaxina,yes,TAG,75-225 (TM/T1),quadro,75.0,yes,ok
77,prescription,humor/TEPT,Dor neuropatica ou sindromes dolorosas,Venlafaxina XR,yes,TAG,75-225 (TM/T1),quadro,150.0,yes,ok
77,prescription,ansiedade/resgate,Transtorno de ansiedade generalizada,Diazepam,yes,TAG,2-10 (TM/T1),quadro,10.0,yes,ok
78,prescription,humor/TEPT,Dor neuropatica ou sindromes dolorosas,Duloxetina,yes,TAG,60-120 (TM/T1),quadro,120.0,yes,ok
78,prescription,ansiedade/resgate,Transtorno de ansiedade generalizada,Lorazepam,yes,Ansiedade grave,"0,5-1 mg por tomada: ansiolitico. 1-2 mg por tomada: maior sedacao e controle de agitacao. Protocolos de catatonia exigem avaliacao e monitorizacao. (DM/ANVISA/Maudsley)",dose_efeito,0.5,yes,ok
78,prescription,sono/sedacao,Insonia,Zolpidem,yes,Insonia,"5 mg a noite: menor exposicao. 5-10 mg a noite liberacao imediata: inducao do sono. Formulacao prolongada tem dose propria. Doses maiores aumentam amnesia, comportamentos complexos e prejuizo no dia seguinte. (DM/ANVISA)",dose_efeito,7.5,yes,ok
79,prescription,humor/TEPT,Transtorno depressivo maior,Fluoxetina,yes,transtorno de estresse,20-60 (TM/T1),quadro,20.0,yes,ok
79,prescription,sono/sedacao,Insonia,Zolpidem,yes,Insonia,"5 mg a noite: menor exposicao. 5-10 mg a noite liberacao imediata: inducao do sono. Formulacao prolongada tem dose propria. Doses maiores aumentam amnesia, comportamentos complexos e prejuizo no dia seguinte. (DM/ANVISA)",dose_efeito,7.5,yes,ok
79,prescription,ansiedade/resgate,Transtorno bipolar - manutencao,Clonazepam,yes,Transtorno do panico,"0,5-1 mg/dia (DM)",quadro,1.0,yes,ok
79,prescription,substancias/craving,Transtorno por uso de alcool,Naltrexona,yes,vicios,25-50 (TM/T1),quadro,25.0,yes,ok
80,prescription,humor/TEPT,Transtorno de ansiedade generalizada,Sertralina,yes,transtorno de estresse,50-200 (TM/T1),quadro,125.0,yes,ok
80,prescription,sono/sedacao,Insonia,Trazodona,yes,Insonia,25-100 mg a noite (DM/ST-E/GG),quadro,100.0,yes,ok
80,prescription,ansiedade/resgate,Transtorno de ansiedade generalizada,Bromazepam,yes,Ansiedade aguda,6-18 mg/dia (HC),quadro,6.0,yes,ok
80,prescription,impulsividade/irritabilidade,Esquizofrenia e transtornos psicoticos,Quetiapina,yes,Esquizofrenia e transtornos psicoticos,150-750 mg/dia (DM),quadro,450.0,yes,ok
80,prescription,substancias/craving,Dor neuropatica ou sindromes dolorosas,Buprenorfina,yes,Transtorno por uso de opioides,Inducao deve considerar tipo e momento do ultimo opioide. Manutencao comum 8-24 mg/dia sublingual; formulacoes injetaveis mensais possuem esquemas proprios. (DM/ANVISA),dose_efeito,24.0,yes,ok
81,prescription,humor/TEPT,Transtorno de ansiedade generalizada,Desvenlafaxina,yes,transtorno de estresse,50-100 (TM/T1),quadro,100.0,yes,ok
82,prescription,humor/TEPT,Dor neuropatica ou sindromes dolorosas,Venlafaxina,yes,TAG,75-225 (TM/T1),quadro,75.0,yes,ok
82,prescription,ansiedade/resgate,Transtorno de ansiedade generalizada,Diazepam,yes,TAG,2-10 (TM/T1),quadro,6.0,yes,ok
83,prescription,humor/TEPT,Dor neuropatica ou sindromes dolorosas,Venlafaxina XR,yes,TAG,75-225 (TM/T1),quadro,150.0,yes,ok
83,prescription,ansiedade/resgate,Transtorno de ansiedade generalizada,Lorazepam,yes,Ansiedade grave,"0,5-1 mg por tomada: ansiolitico. 1-2 mg por tomada: maior sedacao e controle de agitacao. Protocolos de catatonia exigem avaliacao e monitorizacao. (DM/ANVISA/Maudsley)",dose_efeito,2.0,yes,ok
83,prescription,sono/sedacao,Insonia,Trazodona,yes,Insonia,25-100 mg a noite (DM/ST-E/GG),quadro,25.0,yes,ok
84,prescription,humor/TEPT,Dor neuropatica ou sindromes dolorosas,Duloxetina,yes,TAG,60-120 (TM/T1),quadro,120.0,yes,ok
84,prescription,sono/sedacao,Insonia,Trazodona,yes,Insonia,25-100 mg a noite (DM/ST-E/GG),quadro,25.0,yes,ok
84,prescription,ansiedade/resgate,Transtorno bipolar - manutencao,Clonazepam,yes,Transtorno do panico,"0,5-1 mg/dia (DM)",quadro,0.75,yes,ok
84,prescription,substancias/craving,Dor neuropatica ou sindromes dolorosas,Buprenorfina,yes,Transtorno por uso de opioides,Inducao deve considerar tipo e momento do ultimo opioide. Manutencao comum 8-24 mg/dia sublingual; formulacoes injetaveis mensais possuem esquemas proprios. (DM/ANVISA),dose_efeito,24.0,yes,ok
85,prescription,humor/TEPT,Transtorno depressivo maior,Fluoxetina,yes,transtorno de estresse,20-60 (TM/T1),quadro,20.0,yes,ok
85,prescription,sono/sedacao,Insonia,Mirtazapina,yes,TAG,15-45 (TM/T1),quadro,30.0,yes,ok
85,prescription,ansiedade/resgate,Transtorno de ansiedade generalizada,Bromazepam,yes,Ansiedade aguda,6-18 mg/dia (HC),quadro,18.0,yes,ok
85,prescription,impulsividade/irritabilidade,Esquizofrenia e transtornos psicoticos,Risperidona,yes,Esquizofrenia e transtornos psicoticos,"0,25–1 mg/dia: baixa exposição e usos específicos. (DM/ST-PG/ST-E/GG/Maudsley)",dose_efeito,0.25,yes,ok
85,prescription,substancias/craving,Transtorno por uso de alcool,Acamprosato,yes,Transtorno por uso de alcool,Dose usual depende de peso e funcao renal. Esquema adulto frequente: 666 mg tres vezes/dia. Nao trata intoxicacao nem abstinencia aguda. (DM/ANVISA/APA/NICE/PENDENTE),dose_efeito,666.0,yes,ok
86,prescription,humor/TEPT,Transtorno de ansiedade generalizada,Sertralina,yes,transtorno de estresse,50-200 (TM/T1),quadro,125.0,yes,ok
87,prescription,humor/TEPT,Transtorno de ansiedade generalizada,Desvenlafaxina,yes,transtorno de estresse,50-100 (TM/T1),quadro,100.0,yes,ok
87,prescription,ansiedade/resgate,Transtorno de ansiedade generalizada,Diazepam,yes,TAG,2-10 (TM/T1),quadro,2.0,yes,ok
88,prescription,humor/TEPT,Dor neuropatica ou sindromes dolorosas,Venlafaxina,yes,TAG,75-225 (TM/T1),quadro,75.0,yes,ok
88,prescription,ansiedade/resgate,Transtorno de ansiedade generalizada,Lorazepam,yes,Ansiedade grave,"0,5-1 mg por tomada: ansiolitico. 1-2 mg por tomada: maior sedacao e controle de agitacao. Protocolos de catatonia exigem avaliacao e monitorizacao. (DM/ANVISA/Maudsley)",dose_efeito,1.25,yes,ok
88,prescription,sono/sedacao,Insonia,Mirtazapina,yes,TAG,15-45 (TM/T1),quadro,45.0,yes,ok
89,prescription,humor/TEPT,Dor neuropatica ou sindromes dolorosas,Venlafaxina XR,yes,TAG,75-225 (TM/T1),quadro,150.0,yes,ok
89,prescription,sono/sedacao,Insonia,Mirtazapina,yes,TAG,15-45 (TM/T1),quadro,45.0,yes,ok
89,prescription,ansiedade/resgate,Transtorno bipolar - manutencao,Clonazepam,yes,Transtorno do panico,"0,5-1 mg/dia (DM)",quadro,0.5,yes,ok
89,prescription,substancias/craving,Transtorno por uso de alcool,Acamprosato,yes,Transtorno por uso de alcool,Dose usual depende de peso e funcao renal. Esquema adulto frequente: 666 mg tres vezes/dia. Nao trata intoxicacao nem abstinencia aguda. (DM/ANVISA/APA/NICE/PENDENTE),dose_efeito,666.0,yes,ok
90,prescription,humor/TEPT,Dor neuropatica ou sindromes dolorosas,Duloxetina,yes,TAG,60-120 (TM/T1),quadro,120.0,yes,ok
90,prescription,sono/sedacao,Esquizofrenia e transtornos psicoticos,Quetiapina,yes,Esquizofrenia e transtornos psicoticos,150-750 mg/dia (DM),quadro,150.0,yes,ok
90,prescription,ansiedade/resgate,Transtorno de ansiedade generalizada,Bromazepam,yes,Ansiedade aguda,6-18 mg/dia (HC),quadro,12.0,yes,ok
90,prescription,impulsividade/irritabilidade,Transtorno bipolar - manutencao,Divalproato,yes,Transtorno bipolar - mania/hipomania,750 mg/dia ate resposta; alvo serico 50-125 mcg/mL (DM),quadro,2500.0,yes,ok
90,prescription,substancias/craving,Transtorno por uso de alcool,Naltrexona,yes,vicios,25-50 (TM/T1),quadro,25.0,yes,ok
91,prescription,humor/TEPT,Transtorno depressivo maior,Fluoxetina,yes,transtorno de estresse,20-60 (TM/T1),quadro,20.0,yes,ok
92,prescription,humor/TEPT,Transtorno de ansiedade generalizada,Sertralina,yes,transtorno de estresse,50-200 (TM/T1),quadro,125.0,yes,ok
92,prescription,ansiedade/resgate,Transtorno de ansiedade generalizada,Diazepam,yes,TAG,2-10 (TM/T1),quadro,10.0,yes,ok
93,prescription,humor/TEPT,Transtorno de ansiedade generalizada,Desvenlafaxina,yes,transtorno de estresse,50-100 (TM/T1),quadro,100.0,yes,ok
93,prescription,ansiedade/resgate,Transtorno de ansiedade generalizada,Lorazepam,yes,Ansiedade grave,"0,5-1 mg por tomada: ansiolitico. 1-2 mg por tomada: maior sedacao e controle de agitacao. Protocolos de catatonia exigem avaliacao e monitorizacao. (DM/ANVISA/Maudsley)",dose_efeito,0.5,yes,ok
93,prescription,sono/sedacao,Esquizofrenia e transtornos psicoticos,Quetiapina,yes,Esquizofrenia e transtornos psicoticos,150-750 mg/dia (DM),quadro,450.0,yes,ok
94,prescription,humor/TEPT,Dor neuropatica ou sindromes dolorosas,Venlafaxina,yes,TAG,75-225 (TM/T1),quadro,75.0,yes,ok
94,prescription,sono/sedacao,Esquizofrenia e transtornos psicoticos,Quetiapina,yes,Esquizofrenia e transtornos psicoticos,150-750 mg/dia (DM),quadro,450.0,yes,ok
94,prescription,ansiedade/resgate,Transtorno bipolar - manutencao,Clonazepam,yes,Transtorno do panico,"0,5-1 mg/dia (DM)",quadro,1.0,yes,ok
94,prescription,substancias/craving,Transtorno por uso de alcool,Naltrexona,yes,vicios,25-50 (TM/T1),quadro,25.0,yes,ok
95,prescription,humor/TEPT,Dor neuropatica ou sindromes dolorosas,Venlafaxina XR,yes,TAG,75-225 (TM/T1),quadro,150.0,yes,ok
95,prescription,sono/sedacao,Insonia,Zolpidem,yes,Insonia,"5 mg a noite: menor exposicao. 5-10 mg a noite liberacao imediata: inducao do sono. Formulacao prolongada tem dose propria. Doses maiores aumentam amnesia, comportamentos complexos e prejuizo no dia seguinte. (DM/ANVISA)",dose_efeito,10.0,yes,ok
95,prescription,ansiedade/resgate,Transtorno de ansiedade generalizada,Bromazepam,yes,Ansiedade aguda,6-18 mg/dia (HC),quadro,6.0,yes,ok
95,prescription,impulsividade/irritabilidade,Transtorno bipolar - manutencao,Carbamazepina,yes,Transtorno bipolar - manutencao,200–400 mg/dia: início/titulação. (DM/GG/Maudsley/CANMAT/ISBD),dose_efeito,300.0,yes,ok
95,prescription,substancias/craving,Dor neuropatica ou sindromes dolorosas,Buprenorfina,yes,Transtorno por uso de opioides,Inducao deve considerar tipo e momento do ultimo opioide. Manutencao comum 8-24 mg/dia sublingual; formulacoes injetaveis mensais possuem esquemas proprios. (DM/ANVISA),dose_efeito,24.0,yes,ok
96,prescription,humor/TEPT,Dor neuropatica ou sindromes dolorosas,Duloxetina,yes,TAG,60-120 (TM/T1),quadro,120.0,yes,ok
97,prescription,humor/TEPT,Transtorno depressivo maior,Fluoxetina,yes,transtorno de estresse,20-60 (TM/T1),quadro,20.0,yes,ok
97,prescription,ansiedade/resgate,Transtorno de ansiedade generalizada,Diazepam,yes,TAG,2-10 (TM/T1),quadro,6.0,yes,ok
98,prescription,humor/TEPT,Transtorno de ansiedade generalizada,Sertralina,yes,transtorno de estresse,50-200 (TM/T1),quadro,125.0,yes,ok
98,prescription,ansiedade/resgate,Transtorno de ansiedade generalizada,Lorazepam,yes,Ansiedade grave,"0,5-1 mg por tomada: ansiolitico. 1-2 mg por tomada: maior sedacao e controle de agitacao. Protocolos de catatonia exigem avaliacao e monitorizacao. (DM/ANVISA/Maudsley)",dose_efeito,2.0,yes,ok
98,prescription,sono/sedacao,Insonia,Zolpidem,yes,Insonia,"5 mg a noite: menor exposicao. 5-10 mg a noite liberacao imediata: inducao do sono. Formulacao prolongada tem dose propria. Doses maiores aumentam amnesia, comportamentos complexos e prejuizo no dia seguinte. (DM/ANVISA)",dose_efeito,5.0,yes,ok
99,prescription,humor/TEPT,Transtorno de ansiedade generalizada,Desvenlafaxina,yes,transtorno de estresse,50-100 (TM/T1),quadro,100.0,yes,ok
99,prescription,sono/sedacao,Insonia,Zolpidem,yes,Insonia,"5 mg a noite: menor exposicao. 5-10 mg a noite liberacao imediata: inducao do sono. Formulacao prolongada tem dose propria. Doses maiores aumentam amnesia, comportamentos complexos e prejuizo no dia seguinte. (DM/ANVISA)",dose_efeito,5.0,yes,ok
99,prescription,ansiedade/resgate,Transtorno bipolar - manutencao,Clonazepam,yes,Transtorno do panico,"0,5-1 mg/dia (DM)",quadro,0.75,yes,ok
99,prescription,substancias/craving,Dor neuropatica ou sindromes dolorosas,Buprenorfina,yes,Transtorno por uso de opioides,Inducao deve considerar tipo e momento do ultimo opioide. Manutencao comum 8-24 mg/dia sublingual; formulacoes injetaveis mensais possuem esquemas proprios. (DM/ANVISA),dose_efeito,24.0,yes,ok
100,prescription,humor/TEPT,Dor neuropatica ou sindromes dolorosas,Venlafaxina,yes,TAG,75-225 (TM/T1),quadro,75.0,yes,ok
100,prescription,sono/sedacao,Insonia,Trazodona,yes,Insonia,25-100 mg a noite (DM/ST-E/GG),quadro,62.5,yes,ok
100,prescription,ansiedade/resgate,Transtorno de ansiedade generalizada,Bromazepam,yes,Ansiedade aguda,6-18 mg/dia (HC),quadro,18.0,yes,ok
