medication_name,drug_class,condition_or_context,condition_key,audit_status,condition_range,dose_effect_min,dose_effect_max,range_source,dose_effect_source,missing_fields
Doxepina,Triciclico,Dor neuropatica ou sindromes dolorosas,dor,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,300,300,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"FDA/Silenor Prescribing Information; DailyMed, Doxepin Hydrochloride Capsules; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c42333f8-1add-4f33-9458-6fe4436874a1",condition_range | condition_range_min | condition_range_max | range_source
Duloxetina,SNRI,Fibromialgia,,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,30,30,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,FDA_CYMBALTA; STAHL_ESSENTIAL; STAHL_PG; GOODMAN_GILMAN; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=569582d5-cb6d-735e-e063-6394a90abfb6,condition_key | condition_range | condition_range_min | condition_range_max | range_source
Duloxetina,SNRI,Fibromialgia,,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,60,60,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,FDA_CYMBALTA; STAHL_ESSENTIAL; STAHL_PG; GOODMAN_GILMAN; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=569582d5-cb6d-735e-e063-6394a90abfb6,condition_key | condition_range | condition_range_min | condition_range_max | range_source
Duloxetina,SNRI,Fibromialgia,,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,120,120,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,FDA_CYMBALTA; STAHL_ESSENTIAL; STAHL_PG; GOODMAN_GILMAN; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=569582d5-cb6d-735e-e063-6394a90abfb6,condition_key | condition_range | condition_range_min | condition_range_max | range_source
Escitalopram,SSRI,Transtorno disforico pre-menstrual,,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,5,5,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,FDA_LEXAPRO; STAHL_ESSENTIAL; STAHL_PG; GOODMAN_GILMAN; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=1b2ec266-be5b-9265-e063-6294a90a10e3,condition_key | condition_range | condition_range_min | condition_range_max | range_source
Escitalopram,SSRI,Transtorno disforico pre-menstrual,,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,10,10,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,FDA_LEXAPRO; STAHL_ESSENTIAL; STAHL_PG; GOODMAN_GILMAN; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=1b2ec266-be5b-9265-e063-6294a90a10e3,condition_key | condition_range | condition_range_min | condition_range_max | range_source
Escitalopram,SSRI,Transtorno disforico pre-menstrual,,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,20,20,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,FDA_LEXAPRO; STAHL_ESSENTIAL; STAHL_PG; GOODMAN_GILMAN; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=1b2ec266-be5b-9265-e063-6294a90a10e3,condition_key | condition_range | condition_range_min | condition_range_max | range_source
Fenitoina,Anticonvulsivante/estabilizador,Epilepsia,,RESEARCH_REQUIRED_NO_COMPARABLE_RANGE,nao cadastrado,,,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"FDA/Dilantin Prescribing Information; Goodman & Gilman, 14ª ed.; Maudsley Prescribing Guidelines.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=7e467c02-49a0-4b62-b537-430fdfa4f10e",condition_key | dose_effect_band | dose_effect_min | dose_effect_max | condition_range | condition_range_min | condition_range_max | range_source
Fenitoina,Anticonvulsivante/estabilizador,Uso psiquiatrico de anticonvulsivantes,,RESEARCH_REQUIRED_NO_COMPARABLE_RANGE,nao cadastrado,,,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"FDA/Dilantin Prescribing Information; Goodman & Gilman, 14ª ed.; Maudsley Prescribing Guidelines.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=7e467c02-49a0-4b62-b537-430fdfa4f10e",condition_key | dose_effect_band | dose_effect_min | dose_effect_max | condition_range | condition_range_min | condition_range_max | range_source
Fenitoina,Anticonvulsivante/estabilizador,Anorexia nervosa,bulimia_anorexia,RESEARCH_REQUIRED_NO_COMPARABLE_RANGE,nao cadastrado,,,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"FDA/Dilantin Prescribing Information; Goodman & Gilman, 14ª ed.; Maudsley Prescribing Guidelines.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=7e467c02-49a0-4b62-b537-430fdfa4f10e",dose_effect_band | dose_effect_min | dose_effect_max | condition_range | condition_range_min | condition_range_max | range_source
Fenobarbital,Anticonvulsivante/estabilizador,Epilepsia,,RESEARCH_REQUIRED_NO_COMPARABLE_RANGE,nao cadastrado,,,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"DailyMed, Phenobarbital; Goodman & Gilman, 14ª ed.; Maudsley.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=fa09b4f2-edb0-4594-a2d2-b16f7b9686b4",condition_key | dose_effect_band | dose_effect_min | dose_effect_max | condition_range | condition_range_min | condition_range_max | range_source
Fenobarbital,Anticonvulsivante/estabilizador,Uso psiquiatrico de anticonvulsivantes,,RESEARCH_REQUIRED_NO_COMPARABLE_RANGE,nao cadastrado,,,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"DailyMed, Phenobarbital; Goodman & Gilman, 14ª ed.; Maudsley.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=fa09b4f2-edb0-4594-a2d2-b16f7b9686b4",condition_key | dose_effect_band | dose_effect_min | dose_effect_max | condition_range | condition_range_min | condition_range_max | range_source
Fenobarbital,Anticonvulsivante/estabilizador,Anorexia nervosa,bulimia_anorexia,RESEARCH_REQUIRED_NO_COMPARABLE_RANGE,nao cadastrado,,,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"DailyMed, Phenobarbital; Goodman & Gilman, 14ª ed.; Maudsley.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=fa09b4f2-edb0-4594-a2d2-b16f7b9686b4",dose_effect_band | dose_effect_min | dose_effect_max | condition_range | condition_range_min | condition_range_max | range_source
Fluoxetina,SSRI,Transtorno disforico pre-menstrual,,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,10,10,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,FDA_PROZAC; STAHL_ESSENTIAL; STAHL_PG; GOODMAN_GILMAN; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=77b6ae48-8e3a-42e6-9b5a-aeed750861e8,condition_key | condition_range | condition_range_min | condition_range_max | range_source
Fluoxetina,SSRI,Transtorno disforico pre-menstrual,,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,20,60,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,FDA_PROZAC; STAHL_ESSENTIAL; STAHL_PG; GOODMAN_GILMAN; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=77b6ae48-8e3a-42e6-9b5a-aeed750861e8,condition_key | condition_range | condition_range_min | condition_range_max | range_source
Fluoxetina,SSRI,Transtorno disforico pre-menstrual,,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,80,80,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,FDA_PROZAC; STAHL_ESSENTIAL; STAHL_PG; GOODMAN_GILMAN; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=77b6ae48-8e3a-42e6-9b5a-aeed750861e8,condition_key | condition_range | condition_range_min | condition_range_max | range_source
Haloperidol,Antipsicotico tipico,Transtorno bipolar - mania/hipomania,,RESEARCH_REQUIRED_NO_COMPARABLE_RANGE,nao cadastrado,0.5,2,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"FDA/Haldol Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; Maudsley.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e2eed126-cb82-42b1-9b48-9cbeb6873b50",condition_key | dose_effect_band | condition_range | condition_range_min | condition_range_max | range_source
Haloperidol,Antipsicotico tipico,Esquizofrenia e transtornos psicoticos,,RESEARCH_REQUIRED_NO_COMPARABLE_RANGE,nao cadastrado,0.5,2,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"FDA/Haldol Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; Maudsley.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e2eed126-cb82-42b1-9b48-9cbeb6873b50",condition_key | dose_effect_band | condition_range | condition_range_min | condition_range_max | range_source
Haloperidol,Antipsicotico tipico,Agitacao ou psicose aguda,depressao_com_agitacao_agressiva,RESEARCH_REQUIRED_NO_COMPARABLE_RANGE,nao cadastrado,0.5,2,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"FDA/Haldol Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; Maudsley.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e2eed126-cb82-42b1-9b48-9cbeb6873b50",dose_effect_band | condition_range | condition_range_min | condition_range_max | range_source
Haloperidol,Antipsicotico tipico,Anorexia nervosa,bulimia_anorexia,RESEARCH_REQUIRED_NO_COMPARABLE_RANGE,nao cadastrado,0.5,2,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"FDA/Haldol Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; Maudsley.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e2eed126-cb82-42b1-9b48-9cbeb6873b50",dose_effect_band | condition_range | condition_range_min | condition_range_max | range_source
Haloperidol,Antipsicotico tipico,Transtorno bipolar - mania/hipomania,,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,2,10,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"FDA/Haldol Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; Maudsley.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e2eed126-cb82-42b1-9b48-9cbeb6873b50",condition_key | condition_range | condition_range_min | condition_range_max | range_source
Haloperidol,Antipsicotico tipico,Esquizofrenia e transtornos psicoticos,,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,2,10,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"FDA/Haldol Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; Maudsley.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e2eed126-cb82-42b1-9b48-9cbeb6873b50",condition_key | condition_range | condition_range_min | condition_range_max | range_source
Haloperidol,Antipsicotico tipico,Agitacao ou psicose aguda,depressao_com_agitacao_agressiva,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,2,10,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"FDA/Haldol Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; Maudsley.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e2eed126-cb82-42b1-9b48-9cbeb6873b50",condition_range | condition_range_min | condition_range_max | range_source
Haloperidol,Antipsicotico tipico,Anorexia nervosa,bulimia_anorexia,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,2,10,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"FDA/Haldol Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; Maudsley.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e2eed126-cb82-42b1-9b48-9cbeb6873b50",condition_range | condition_range_min | condition_range_max | range_source
Haloperidol,Antipsicotico tipico,Transtorno bipolar - mania/hipomania,,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,2,10,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"FDA/Haldol Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; Maudsley.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e2eed126-cb82-42b1-9b48-9cbeb6873b50",condition_key | condition_range | condition_range_min | condition_range_max | range_source
Haloperidol,Antipsicotico tipico,Esquizofrenia e transtornos psicoticos,,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,2,10,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"FDA/Haldol Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; Maudsley.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e2eed126-cb82-42b1-9b48-9cbeb6873b50",condition_key | condition_range | condition_range_min | condition_range_max | range_source
Haloperidol,Antipsicotico tipico,Agitacao ou psicose aguda,depressao_com_agitacao_agressiva,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,2,10,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"FDA/Haldol Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; Maudsley.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e2eed126-cb82-42b1-9b48-9cbeb6873b50",condition_range | condition_range_min | condition_range_max | range_source
Haloperidol,Antipsicotico tipico,Anorexia nervosa,bulimia_anorexia,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,2,10,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"FDA/Haldol Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; Maudsley.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e2eed126-cb82-42b1-9b48-9cbeb6873b50",condition_range | condition_range_min | condition_range_max | range_source
Lamotrigina,Estabilizador de humor,Transtorno bipolar - episodio depressivo,depressao_ansiosa,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,25,25,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"FDA_LAMICTAL; CANMAT_ISBD; MAUDSLEY;
STAHL_ESSENTIAL; GOODMAN_GILMAN; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=55f41c7e-03a6-b84c-e063-6294a90a7d82",mechanism_or_target | condition_range | condition_range_min | condition_range_max | range_source
Lamotrigina,Estabilizador de humor,Transtorno bipolar - mania/hipomania,,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,25,25,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"FDA_LAMICTAL; CANMAT_ISBD; MAUDSLEY;
STAHL_ESSENTIAL; GOODMAN_GILMAN; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=55f41c7e-03a6-b84c-e063-6294a90a7d82",condition_key | mechanism_or_target | condition_range | condition_range_min | condition_range_max | range_source
Lamotrigina,Estabilizador de humor,Transtorno bipolar - manutencao,,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,25,25,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"FDA_LAMICTAL; CANMAT_ISBD; MAUDSLEY;
STAHL_ESSENTIAL; GOODMAN_GILMAN; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=55f41c7e-03a6-b84c-e063-6294a90a7d82",condition_key | mechanism_or_target | condition_range | condition_range_min | condition_range_max | range_source
Lamotrigina,Estabilizador de humor,Epilepsia,,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,25,25,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"FDA_LAMICTAL; CANMAT_ISBD; MAUDSLEY;
STAHL_ESSENTIAL; GOODMAN_GILMAN; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=55f41c7e-03a6-b84c-e063-6294a90a7d82",condition_key | mechanism_or_target | condition_range | condition_range_min | condition_range_max | range_source
Lamotrigina,Estabilizador de humor,Anorexia nervosa,bulimia_anorexia,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,25,25,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"FDA_LAMICTAL; CANMAT_ISBD; MAUDSLEY;
STAHL_ESSENTIAL; GOODMAN_GILMAN; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=55f41c7e-03a6-b84c-e063-6294a90a7d82",mechanism_or_target | condition_range | condition_range_min | condition_range_max | range_source
Lamotrigina,Estabilizador de humor,Transtorno bipolar - episodio depressivo,depressao_ansiosa,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,50,100,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"FDA_LAMICTAL; CANMAT_ISBD; MAUDSLEY;
STAHL_ESSENTIAL; GOODMAN_GILMAN; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=55f41c7e-03a6-b84c-e063-6294a90a7d82",mechanism_or_target | condition_range | condition_range_min | condition_range_max | range_source
Lamotrigina,Estabilizador de humor,Transtorno bipolar - mania/hipomania,,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,50,100,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"FDA_LAMICTAL; CANMAT_ISBD; MAUDSLEY;
STAHL_ESSENTIAL; GOODMAN_GILMAN; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=55f41c7e-03a6-b84c-e063-6294a90a7d82",condition_key | mechanism_or_target | condition_range | condition_range_min | condition_range_max | range_source
Lamotrigina,Estabilizador de humor,Transtorno bipolar - manutencao,,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,50,100,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"FDA_LAMICTAL; CANMAT_ISBD; MAUDSLEY;
STAHL_ESSENTIAL; GOODMAN_GILMAN; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=55f41c7e-03a6-b84c-e063-6294a90a7d82",condition_key | mechanism_or_target | condition_range | condition_range_min | condition_range_max | range_source
Lamotrigina,Estabilizador de humor,Epilepsia,,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,50,100,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"FDA_LAMICTAL; CANMAT_ISBD; MAUDSLEY;
STAHL_ESSENTIAL; GOODMAN_GILMAN; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=55f41c7e-03a6-b84c-e063-6294a90a7d82",condition_key | mechanism_or_target | condition_range | condition_range_min | condition_range_max | range_source
Lamotrigina,Estabilizador de humor,Anorexia nervosa,bulimia_anorexia,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,50,100,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"FDA_LAMICTAL; CANMAT_ISBD; MAUDSLEY;
STAHL_ESSENTIAL; GOODMAN_GILMAN; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=55f41c7e-03a6-b84c-e063-6294a90a7d82",mechanism_or_target | condition_range | condition_range_min | condition_range_max | range_source
Lamotrigina,Estabilizador de humor,Transtorno bipolar - episodio depressivo,depressao_ansiosa,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,200,200,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"FDA_LAMICTAL; CANMAT_ISBD; MAUDSLEY;
STAHL_ESSENTIAL; GOODMAN_GILMAN; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=55f41c7e-03a6-b84c-e063-6294a90a7d82",mechanism_or_target | condition_range | condition_range_min | condition_range_max | range_source
Lamotrigina,Estabilizador de humor,Transtorno bipolar - mania/hipomania,,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,200,200,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"FDA_LAMICTAL; CANMAT_ISBD; MAUDSLEY;
STAHL_ESSENTIAL; GOODMAN_GILMAN; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=55f41c7e-03a6-b84c-e063-6294a90a7d82",condition_key | mechanism_or_target | condition_range | condition_range_min | condition_range_max | range_source
Lamotrigina,Estabilizador de humor,Transtorno bipolar - manutencao,,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,200,200,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"FDA_LAMICTAL; CANMAT_ISBD; MAUDSLEY;
STAHL_ESSENTIAL; GOODMAN_GILMAN; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=55f41c7e-03a6-b84c-e063-6294a90a7d82",condition_key | mechanism_or_target | condition_range | condition_range_min | condition_range_max | range_source
Lamotrigina,Estabilizador de humor,Epilepsia,,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,200,200,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"FDA_LAMICTAL; CANMAT_ISBD; MAUDSLEY;
STAHL_ESSENTIAL; GOODMAN_GILMAN; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=55f41c7e-03a6-b84c-e063-6294a90a7d82",condition_key | mechanism_or_target | condition_range | condition_range_min | condition_range_max | range_source
Lamotrigina,Estabilizador de humor,Anorexia nervosa,bulimia_anorexia,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,200,200,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"FDA_LAMICTAL; CANMAT_ISBD; MAUDSLEY;
STAHL_ESSENTIAL; GOODMAN_GILMAN; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=55f41c7e-03a6-b84c-e063-6294a90a7d82",mechanism_or_target | condition_range | condition_range_min | condition_range_max | range_source
Levomepromazina,Antipsicotico tipico,Esquizofrenia e transtornos psicoticos,,RESEARCH_REQUIRED_NO_COMPARABLE_RANGE,nao cadastrado,1,25,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"bula profissional Anvisa, Levomepromazina; European/UK SmPC; Stahl, 5ª ed.; Maudsley.; DM:PENDENTE_PESQUISAR",condition_key | dose_effect_band | dominant_effect | mechanism_or_target | condition_range | condition_range_min | condition_range_max | range_source | dose_effect_source
Levomepromazina,Antipsicotico tipico,Agitacao ou psicose aguda,depressao_com_agitacao_agressiva,RESEARCH_REQUIRED_NO_COMPARABLE_RANGE,nao cadastrado,1,25,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"bula profissional Anvisa, Levomepromazina; European/UK SmPC; Stahl, 5ª ed.; Maudsley.; DM:PENDENTE_PESQUISAR",dose_effect_band | dominant_effect | mechanism_or_target | condition_range | condition_range_min | condition_range_max | range_source | dose_effect_source
Levomepromazina,Antipsicotico tipico,Anorexia nervosa,bulimia_anorexia,RESEARCH_REQUIRED_NO_COMPARABLE_RANGE,nao cadastrado,1,25,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"bula profissional Anvisa, Levomepromazina; European/UK SmPC; Stahl, 5ª ed.; Maudsley.; DM:PENDENTE_PESQUISAR",dose_effect_band | dominant_effect | mechanism_or_target | condition_range | condition_range_min | condition_range_max | range_source | dose_effect_source
Levomepromazina,Antipsicotico tipico,Esquizofrenia e transtornos psicoticos,,RESEARCH_REQUIRED_NO_COMPARABLE_RANGE,nao cadastrado,25,100,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"bula profissional Anvisa, Levomepromazina; European/UK SmPC; Stahl, 5ª ed.; Maudsley.; DM:PENDENTE_PESQUISAR",condition_key | dose_effect_band | dominant_effect | mechanism_or_target | condition_range | condition_range_min | condition_range_max | range_source | dose_effect_source
Levomepromazina,Antipsicotico tipico,Agitacao ou psicose aguda,depressao_com_agitacao_agressiva,RESEARCH_REQUIRED_NO_COMPARABLE_RANGE,nao cadastrado,25,100,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"bula profissional Anvisa, Levomepromazina; European/UK SmPC; Stahl, 5ª ed.; Maudsley.; DM:PENDENTE_PESQUISAR",dose_effect_band | dominant_effect | mechanism_or_target | condition_range | condition_range_min | condition_range_max | range_source | dose_effect_source
Levomepromazina,Antipsicotico tipico,Anorexia nervosa,bulimia_anorexia,RESEARCH_REQUIRED_NO_COMPARABLE_RANGE,nao cadastrado,25,100,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"bula profissional Anvisa, Levomepromazina; European/UK SmPC; Stahl, 5ª ed.; Maudsley.; DM:PENDENTE_PESQUISAR",dose_effect_band | dominant_effect | mechanism_or_target | condition_range | condition_range_min | condition_range_max | range_source | dose_effect_source
Levomepromazina,Antipsicotico tipico,Esquizofrenia e transtornos psicoticos,,RESEARCH_REQUIRED_NO_COMPARABLE_RANGE,nao cadastrado,100,300,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"bula profissional Anvisa, Levomepromazina; European/UK SmPC; Stahl, 5ª ed.; Maudsley.; DM:PENDENTE_PESQUISAR",condition_key | dose_effect_band | dominant_effect | mechanism_or_target | condition_range | condition_range_min | condition_range_max | range_source | dose_effect_source
Levomepromazina,Antipsicotico tipico,Agitacao ou psicose aguda,depressao_com_agitacao_agressiva,RESEARCH_REQUIRED_NO_COMPARABLE_RANGE,nao cadastrado,100,300,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"bula profissional Anvisa, Levomepromazina; European/UK SmPC; Stahl, 5ª ed.; Maudsley.; DM:PENDENTE_PESQUISAR",dose_effect_band | dominant_effect | mechanism_or_target | condition_range | condition_range_min | condition_range_max | range_source | dose_effect_source
Levomepromazina,Antipsicotico tipico,Anorexia nervosa,bulimia_anorexia,RESEARCH_REQUIRED_NO_COMPARABLE_RANGE,nao cadastrado,100,300,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"bula profissional Anvisa, Levomepromazina; European/UK SmPC; Stahl, 5ª ed.; Maudsley.; DM:PENDENTE_PESQUISAR",dose_effect_band | dominant_effect | mechanism_or_target | condition_range | condition_range_min | condition_range_max | range_source | dose_effect_source
Litio,Estabilizador de humor,Depressao resistente,depressao_ansiosa,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,0.6,1,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"FDA_LITHIUM; CANMAT_ISBD; MAUDSLEY;
STAHL_ESSENTIAL; GOODMAN_GILMAN; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=049902a9-3af1-4863-994e-15f36e7a9793",condition_range | condition_range_min | condition_range_max | range_source
Litio,Estabilizador de humor,Transtorno bipolar - episodio depressivo,depressao_ansiosa,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,0.6,1,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"FDA_LITHIUM; CANMAT_ISBD; MAUDSLEY;
STAHL_ESSENTIAL; GOODMAN_GILMAN; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=049902a9-3af1-4863-994e-15f36e7a9793",condition_range | condition_range_min | condition_range_max | range_source
